completed_trading_date,daily_continuous_close,ewmac16_fast_ewma,ewmac16_slow_ewma,trend_forecast_proxy_fast_minus_slow,sigma_i_t,vol_multiplier_m_ewma10,relative_volatility_v,quantile_q,runtime_status
2011-01-02,104.87109375,104.87109375,104.87109375,0.0,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-02,104.87109375,104.87109375,104.87109375,0.0,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-03,104.89453125,104.87385110294117,104.87181490384616,0.0020361990950164,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-03,104.89453125,104.87628406141867,104.8725138683432,0.003770193075467887,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-04,104.84765625,104.87291608360471,104.87174901854803,0.0011670650566770746,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-04,104.84765625,104.86994433847474,104.8710077025927,-0.0010633641179680353,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-05,104.65234375,104.84434426924241,104.86427958097447,-0.01993531173205554,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-05,104.65234375,104.82175597286096,104.85775847848294,-0.03600250562197971,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-06,104.71484375,104.80917806428907,104.85336110222191,-0.0441830379328394,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-06,104.71484375,104.79807990966682,104.84909902984585,-0.05101912017902066,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-07,104.87890625,104.80758889088249,104.85001617508135,-0.04242728419886532,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-07,104.87890625,104.81597916842571,104.85090510046345,-0.034925932037737084,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-09,104.87890625,104.82338235449328,104.85176667429533,-0.02838431980205769,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-09,104.87890625,104.82991457749407,104.85260173816317,-0.022687160669107698,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-10,104.94140625,104.84303124484771,104.85533418468123,-0.012302939833517712,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-10,104.94140625,104.85460477486562,104.8579825559218,-0.003377781056173035,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-11,104.91015625,104.86114024252848,104.85958790035497,0.0015523421735110787,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-11,104.91015625,104.86690683164277,104.8611438495748,0.005762982067963662,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-12,104.88671875,104.86923764556714,104.86193076958789,0.007306875979253391,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-12,104.88671875,104.87129424608865,104.86269347667749,0.008600769411160059,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-13,104.94140625,104.87954271713704,104.86511540816433,0.014427308972713604,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-13,104.94140625,104.8868207798268,104.86746281868234,0.019357961144464753,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-14,104.94921875,104.89416171749424,104.86997838579981,0.024183331694430876,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-14,104.94921875,104.9006390154361,104.87241655085212,0.028222464583976148,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-16,104.94921875,104.90635427832598,104.87477969544129,0.031574582884687175,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-16,104.94921875,104.91139715734646,104.87707012788925,0.03432702945720223,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-17,104.98046875,104.9195232270704,104.88025162395421,0.039271603116191045,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-17,104.98046875,104.92669328859152,104.88333522783255,0.04335806075897608,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-18,104.91015625,104.92474775463957,104.88416049005309,0.040587264586477545,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-18,104.91015625,104.9230311070349,104.88496035958991,0.038070747444990616,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-19,104.96484375,104.92795024150138,104.88741831006406,0.04053193143731448,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-19,104.96484375,104.93229065426593,104.88980063129286,0.042490022973069586,,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-20,104.84765625,104.92233366552875,104.88850388109924,0.03382978442951412,0.00726538991147014,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-20,104.84765625,104.91354808723125,104.88724703091158,0.026301056319667282,0.00726538991147014,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-21,104.87890625,104.90947257696874,104.88699039149893,0.022482185469812066,0.006912147534586036,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-21,104.87890625,104.90587653850183,104.88674164868357,0.01913488981826106,0.006912147534586036,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-23,104.87109375,104.90178444573691,104.88626017487792,0.015524270858989553,0.006469099972673082,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
2011-01-23,104.87109375,104.8981737756502,104.8857935156509,0.012380259999304144,0.006469099972673082,,,,DAILY_RUNTIME_DEPENDENCY_LEDGER_STRICT_PRIOR_DATE_REQUIRED
