root,purpose,raw_symbol,resolved_d0,resolved_d1,instrument_id
MES,hourly,MESH2,2021-12-31,2022-03-22,11355
MES,hourly,MESM2,2021-12-31,2022-06-26,13615
MES,hourly,MESU2,2021-12-31,2022-11-30,10039
MES,hourly,MESZ2,2021-12-31,2022-12-25,10299
MES,hourly,MESH3,2021-12-31,2023-06-04,2080
MES,hourly,MESM3,2022-03-06,2024-01-01,9270
MES,hourly,MESU3,2022-06-05,2024-01-01,2922
MES,hourly,MESZ3,2022-09-04,2024-01-01,24925
MES,hourly,MESH4,2022-12-04,2024-01-01,763
MES,daily,MESM9,2019-04-14,2019-07-08,7849
MES,daily,MESU9,2019-04-14,2019-10-06,7859
MES,daily,MESZ9,2019-04-14,2020-01-05,7868
MES,daily,MESH0,2019-04-14,2020-04-05,8001
MES,daily,MESM0,2019-04-14,2020-07-05,8034
MES,daily,MESU0,2019-06-09,2020-10-04,20871
MES,daily,MESZ0,2019-09-08,2021-01-03,24948
MES,daily,MESH1,2019-12-08,2021-04-04,8963
MES,daily,MESM1,2020-03-08,2021-07-04,18659
MES,daily,MESU1,2020-06-07,2021-10-03,2055
MES,daily,MESZ1,2020-09-06,2022-01-02,3196
MES,daily,MESH2,2020-12-06,2022-03-22,11355
MES,daily,MESM2,2021-03-07,2022-06-26,13615
MES,daily,MESU2,2021-06-06,2022-11-04,10039
MES,daily,MESZ2,2021-09-05,2022-12-25,10299
MES,daily,MESH3,2021-12-05,2023-05-05,2080
MES,daily,MESM3,2022-03-06,2023-08-04,9270
MES,daily,MESU3,2022-06-05,2023-11-04,2922
MES,daily,MESZ3,2022-09-04,2024-01-01,24925
MES,daily,MESH4,2022-12-04,2024-01-01,763
