lane_class,root,row_id,raw_symbol,completed_trading_date,timestamp,exclusion_reason,zero_silent_row_skip_status
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-14,2022-02-14T20:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-14,2022-02-14T21:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-14,2022-02-14T22:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-15,2022-02-15T00:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-15,2022-02-15T01:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-15,2022-02-15T02:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-15,2022-02-15T03:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-15,2022-02-15T04:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-15,2022-02-15T05:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-15,2022-02-15T06:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-15,2022-02-15T07:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-15,2022-02-15T08:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-15,2022-02-15T09:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-15,2022-02-15T10:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
