period_label,stage,check_name,observed_count,check_status
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,forecast_daily_runtime_strict_prior,11771,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,forecast_daily_runtime_not_stale,11771,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,ladder_daily_runtime_strict_prior,11771,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,ladder_daily_runtime_not_stale,11771,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,pnl_exit_after_entry,11770,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,position_from_entry_completed_bar_only,11770,PASS
ZN_2024_VALIDATION,VALIDATION,forecast_daily_runtime_strict_prior,5919,PASS
ZN_2024_VALIDATION,VALIDATION,forecast_daily_runtime_not_stale,5919,PASS
ZN_2024_VALIDATION,VALIDATION,ladder_daily_runtime_strict_prior,5919,PASS
ZN_2024_VALIDATION,VALIDATION,ladder_daily_runtime_not_stale,5919,PASS
ZN_2024_VALIDATION,VALIDATION,pnl_exit_after_entry,5918,PASS
ZN_2024_VALIDATION,VALIDATION,position_from_entry_completed_bar_only,5918,PASS
