period_label,stage,check_name,observed_value,expected_value,max_abs_difference,observed_count,check_status,fail_count
ZN_2024_VALIDATION,VALIDATION,forecast_uses_prior_daily_ewmac16_trend,0.0,0.0,0.0,5919,PASS,
ZN_2024_VALIDATION,VALIDATION,forecast_uses_prior_daily_vqm_multiplier,0.0,0.0,0.0,5919,PASS,
ZN_2024_VALIDATION,VALIDATION,forecast_recomputes_adjusted_raw,0.0,0.0,0.0,5919,PASS,
ZN_2024_VALIDATION,VALIDATION,forecast_recomputes_risk_adjusted,0.0,0.0,0.0,5919,PASS,
ZN_2024_VALIDATION,VALIDATION,forecast_recomputes_scaled_with_s27_scalar_20,0.0,0.0,0.0,5919,PASS,
ZN_2024_VALIDATION,VALIDATION,forecast_recomputes_common_cap,0.0,0.0,0.0,5919,PASS,
ZN_2024_VALIDATION,VALIDATION,forecast_trend_opposition_flag_matches_sign,TRUE,TRUE,,5919,PASS,0
ZN_2024_VALIDATION,VALIDATION,forecast_scalar_is_s27_20_not_s26_9_3,TRUE,TRUE,,5919,PASS,0
ZN_2024_VALIDATION,VALIDATION,ladder_recomputes_base_unrounded_contracts,0.0,0.0,0.0,5919,PASS,
ZN_2024_VALIDATION,VALIDATION,ladder_recomputes_forecast_multiplier,0.0,0.0,0.0,5919,PASS,
ZN_2024_VALIDATION,VALIDATION,position_recomputes_desired_unrounded_contracts,0.0,0.0,0.0,5919,PASS,
ZN_2024_VALIDATION,VALIDATION,position_rounding_nearest_matches,TRUE,TRUE,,5919,PASS,0
ZN_2024_VALIDATION,VALIDATION,pnl_recomputes_price_change,0.0,0.0,0.0,5918,PASS,
ZN_2024_VALIDATION,VALIDATION,pnl_recomputes_gross,0.0,0.0,0.0,5918,PASS,
ZN_2024_VALIDATION,VALIDATION,fee_recomputes_total_sides_times_etf_fee,0.0,0.0,0.0,5918,PASS,
ZN_2024_VALIDATION,VALIDATION,pnl_recomputes_net_after_fees,0.0,0.0,0.0,5918,PASS,
ZN_2024_VALIDATION,VALIDATION,status_gross_matches_rows,29968.75,29968.75,0.0,5918,PASS,
ZN_2024_VALIDATION,VALIDATION,status_fees_match_rows,5349.93,5349.93,0.0,5918,PASS,
ZN_2024_VALIDATION,VALIDATION,status_net_matches_rows,24618.820000000003,24618.820000000003,0.0,5918,PASS,
ZN_2024_VALIDATION,VALIDATION,fee_sides_recompute_from_position_and_roll_transitions,TRUE,TRUE,,5918,PASS,0
ZN_2024_VALIDATION,VALIDATION,lookahead_status_pass_on_all_backtest_rows,TRUE,TRUE,,5918,PASS,0
