ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2020-06-29 00:00:00+00:00,35,1,1030,2951.0,2951.0,2951.0,2951.0,1,ESU1
2020-07-31 00:00:00+00:00,35,1,1030,3203.0,3203.0,3203.0,3203.0,1,ESU1
2020-09-21 00:00:00+00:00,35,1,1030,3208.25,3208.25,3208.25,3208.25,1,ESU1
2020-10-06 00:00:00+00:00,35,1,1030,3335.5,3335.5,3335.5,3335.5,1,ESU1
2020-10-07 00:00:00+00:00,35,1,1030,3381.5,3381.75,3381.5,3381.75,2,ESU1
2020-10-29 00:00:00+00:00,35,1,1030,3232.25,3232.25,3232.25,3232.25,1,ESU1
2020-11-04 00:00:00+00:00,35,1,1030,3413.0,3413.0,3413.0,3413.0,2,ESU1
2020-11-10 00:00:00+00:00,35,1,1030,3503.5,3503.5,3503.5,3503.5,1,ESU1
2020-12-09 00:00:00+00:00,35,1,1030,3680.0,3680.0,3680.0,3680.0,6,ESU1
2020-12-10 00:00:00+00:00,35,1,1030,3650.0,3650.0,3650.0,3650.0,3,ESU1
2020-12-11 00:00:00+00:00,35,1,1030,3610.0,3610.0,3610.0,3610.0,1,ESU1
2020-12-14 00:00:00+00:00,35,1,1030,3635.0,3635.0,3635.0,3635.0,1,ESU1
2020-12-18 00:00:00+00:00,35,1,1030,3697.0,3697.0,3675.75,3696.25,9,ESU1
2020-12-20 00:00:00+00:00,35,1,1030,3685.0,3685.0,3685.0,3685.0,5,ESU1
2020-12-21 00:00:00+00:00,35,1,1030,3684.75,3686.0,3627.75,3657.0,21,ESU1
2020-12-22 00:00:00+00:00,35,1,1030,3674.25,3674.25,3660.0,3660.0,2,ESU1
2020-12-23 00:00:00+00:00,35,1,1030,3663.0,3675.0,3663.0,3663.0,4,ESU1
2020-12-28 00:00:00+00:00,35,1,1030,3700.0,3700.0,3700.0,3700.0,1,ESU1
2020-12-29 00:00:00+00:00,35,1,1030,3720.75,3720.75,3720.25,3720.25,3,ESU1
2020-12-31 00:00:00+00:00,35,1,1030,3706.0,3706.0,3706.0,3706.0,1,ESU1
2021-01-04 00:00:00+00:00,35,1,1030,3739.25,3740.0,3650.0,3653.25,5,ESU1
2021-01-05 00:00:00+00:00,35,1,1030,3690.0,3690.0,3688.0,3688.0,2,ESU1
