ts_event,instrument_id,raw_symbol,open,high,low,close,volume
2026-05-17 22:00:00+00:00,42000661,ZNM6,109.0625,109.125,109.015625,109.078125,33692
2026-05-17 23:00:00+00:00,42000661,ZNM6,109.078125,109.09375,109.03125,109.078125,16060
2026-05-18 00:00:00+00:00,42000661,ZNM6,109.078125,109.15625,109.03125,109.046875,45671
2026-05-18 01:00:00+00:00,42000661,ZNM6,109.046875,109.0625,108.9375,108.96875,91296
2026-05-18 02:00:00+00:00,42000661,ZNM6,108.96875,109.0,108.953125,108.984375,20213
2026-05-18 03:00:00+00:00,42000661,ZNM6,108.984375,109.0,108.953125,108.96875,16314
2026-05-18 04:00:00+00:00,42000661,ZNM6,108.96875,109.0,108.96875,108.96875,16856
2026-05-18 05:00:00+00:00,42000661,ZNM6,108.984375,109.03125,108.953125,109.015625,37239
2026-05-18 06:00:00+00:00,42000661,ZNM6,109.015625,109.078125,109.015625,109.046875,47154
2026-05-18 07:00:00+00:00,42000661,ZNM6,109.03125,109.1875,109.015625,109.140625,75872
2026-05-18 08:00:00+00:00,42000661,ZNM6,109.140625,109.25,109.140625,109.21875,86197
2026-05-18 09:00:00+00:00,42000661,ZNM6,109.21875,109.21875,109.140625,109.15625,59037
2026-05-18 10:00:00+00:00,42000661,ZNM6,109.15625,109.15625,109.109375,109.140625,41710
2026-05-18 11:00:00+00:00,42000661,ZNM6,109.140625,109.34375,109.078125,109.234375,183372
2026-05-18 12:00:00+00:00,42000661,ZNM6,109.234375,109.4375,109.15625,109.375,238904
2026-05-18 13:00:00+00:00,42000661,ZNM6,109.390625,109.4375,109.25,109.390625,315073
2026-05-18 14:00:00+00:00,42000661,ZNM6,109.390625,109.390625,109.15625,109.234375,213294
2026-05-18 15:00:00+00:00,42000661,ZNM6,109.21875,109.25,109.109375,109.1875,218027
2026-05-18 16:00:00+00:00,42000661,ZNM6,109.203125,109.25,109.109375,109.203125,134497
2026-05-18 17:00:00+00:00,42000661,ZNM6,109.1875,109.25,109.140625,109.1875,94290
2026-05-18 18:00:00+00:00,42000661,ZNM6,109.1875,109.1875,108.984375,109.015625,267467
2026-05-18 19:00:00+00:00,42000661,ZNM6,109.015625,109.265625,109.015625,109.15625,371042
2026-05-18 20:00:00+00:00,42000661,ZNM6,109.140625,109.3125,109.140625,109.296875,105329
2026-05-18 22:00:00+00:00,42000661,ZNM6,109.28125,109.359375,109.28125,109.296875,11336
2026-05-18 23:00:00+00:00,42000661,ZNM6,109.296875,109.3125,109.234375,109.25,13308
2026-05-19 00:00:00+00:00,42000661,ZNM6,109.25,109.265625,109.21875,109.21875,22904
2026-05-19 01:00:00+00:00,42000661,ZNM6,109.21875,109.296875,109.203125,109.234375,25674
2026-05-19 02:00:00+00:00,42000661,ZNM6,109.234375,109.25,109.203125,109.203125,19376
2026-05-19 03:00:00+00:00,42000661,ZNM6,109.203125,109.234375,109.1875,109.1875,11016
2026-05-19 04:00:00+00:00,42000661,ZNM6,109.1875,109.21875,109.171875,109.171875,9204
2026-05-19 05:00:00+00:00,42000661,ZNM6,109.171875,109.1875,109.125,109.125,21378
2026-05-19 06:00:00+00:00,42000661,ZNM6,109.125,109.171875,109.109375,109.140625,34290
2026-05-19 07:00:00+00:00,42000661,ZNM6,109.140625,109.25,109.125,109.234375,51426
2026-05-19 08:00:00+00:00,42000661,ZNM6,109.234375,109.234375,109.15625,109.171875,32986
2026-05-19 09:00:00+00:00,42000661,ZNM6,109.15625,109.15625,109.09375,109.125,34837
2026-05-19 10:00:00+00:00,42000661,ZNM6,109.125,109.1875,109.046875,109.125,81627
2026-05-19 11:00:00+00:00,42000661,ZNM6,109.140625,109.15625,109.0625,109.0625,48964
2026-05-19 12:00:00+00:00,42000661,ZNM6,109.0625,109.125,109.0,109.0,143395
