provider_symbol,local_contract,timestamp_utc,open,high,low,close,volume
MES,MES 06-26,2026-05-18T23:00:00Z,7410.25,7454.25,7372.75,7425.75,1904584
MES,MES 06-26,2026-05-19T23:00:00Z,7423,7440.75,7353.75,7378,1638003
MES,MES 06-26,2026-05-20T23:00:00Z,7377.75,7458,7356,7451.75,1470962
MES,MES 06-26,2026-05-21T23:00:00Z,7433.25,7486.75,7407.5,7466,1625141
MES,MES 06-26,2026-05-22T23:00:00Z,7467.5,7524,7466.5,7491,1150830
