ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,dataset
2026-05-18 00:00:00+00:00,35,105,176738,20.55,20.95,20.15,20.2,104336,176738,XCBF.PITCH
2026-05-18 00:00:00+00:00,35,106,176738,20.52,20.94,20.15,20.2,32144,176738,XCBF.PITCH
2026-05-19 00:00:00+00:00,35,106,176738,20.19,20.58,20.08,20.43,9700,176738,XCBF.PITCH
2026-05-19 00:00:00+00:00,35,105,176738,20.2,20.6,20.05,20.45,85063,176738,XCBF.PITCH
2026-05-20 00:00:00+00:00,35,106,176738,20.46,20.71,19.93,20.1,10879,176738,XCBF.PITCH
2026-05-20 00:00:00+00:00,35,105,176738,20.5,20.75,19.95,20.1,67066,176738,XCBF.PITCH
2026-05-21 00:00:00+00:00,35,105,176738,20.05,20.25,19.25,19.35,67984,176738,XCBF.PITCH
2026-05-21 00:00:00+00:00,35,106,176738,20.11,20.23,19.28,19.33,10154,176738,XCBF.PITCH
2026-05-22 00:00:00+00:00,35,106,176738,19.39,19.68,19.23,19.63,9705,176738,XCBF.PITCH
2026-05-22 00:00:00+00:00,35,105,176738,19.35,19.7,19.2,19.65,55497,176738,XCBF.PITCH
