ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,dataset
2026-05-18 00:00:00+00:00,35,1,42017080,0.1059,0.1068,0.10585,0.10675,140,42017080,GLBX.MDP3
2026-05-18 00:00:00+00:00,35,1,42006627,363.1,363.75,358.1,358.775,6252,42006627,GLBX.MDP3
2026-05-18 00:00:00+00:00,35,1,495552,469.0,478.0,464.0,477.25,249461,495552,GLBX.MDP3
2026-05-18 00:00:00+00:00,35,1,42008160,4540.7,4593.1,4482.7,4585.4,319102,42008160,GLBX.MDP3
2026-05-18 00:00:00+00:00,35,1,371168,4.0682,4.1675,3.999,4.0458,12871,371168,GLBX.MDP3
2026-05-18 00:00:00+00:00,35,1,258289,3.7216,3.7777,3.6619,3.6957,7597,258289,GLBX.MDP3
2026-05-18 00:00:00+00:00,35,1,43947,3.191,3.203,3.147,3.178,132,43947,GLBX.MDP3
2026-05-18 00:00:00+00:00,35,1,42009866,0.05748,0.05781,0.05743,0.05774,53620,42009866,GLBX.MDP3
2026-05-18 00:00:00+00:00,35,1,42076764,0.87375,0.87415,0.86775,0.86885,4328,42076764,GLBX.MDP3
2026-05-18 00:00:00+00:00,35,1,31776,1.3309,1.3449,1.3302,1.3431,100180,31776,GLBX.MDP3
2026-05-18 00:00:00+00:00,35,1,42009488,103.75,103.75,103.33,103.41,62,42009488,GLBX.MDP3
2026-05-18 00:00:00+00:00,35,1,42005727,2289.4,2293.1,2280.7,2291.5,603,42005727,GLBX.MDP3
2026-05-18 00:00:00+00:00,35,1,42002073,2788.3,2817.1,2762.1,2785.5,134222,42002073,GLBX.MDP3
2026-05-18 00:00:00+00:00,35,1,42089456,2132.5,2158.0,2078.5,2128.0,11576,42089456,GLBX.MDP3
2026-05-18 00:00:00+00:00,35,1,4121242,697.75,709.0,693.75,704.25,32580,4121242,GLBX.MDP3
2026-05-18 00:00:00+00:00,35,1,42002605,111.0,111.390625,110.8125,111.125,900032,42002605,GLBX.MDP3
2026-05-18 00:00:00+00:00,35,1,22115,3528.0,3533.5,3528.0,3533.5,3,22115,GLBX.MDP3
2026-05-18 00:00:00+00:00,35,1,3159,102.45,105.25,98.625,102.375,9606,3159,GLBX.MDP3
2026-05-18 00:00:00+00:00,35,1,20048,1.16295,1.1677,1.16235,1.16695,175691,20048,GLBX.MDP3
2026-05-18 00:00:00+00:00,35,1,42005488,99.25,100.45,98.425,98.675,7628,42005488,GLBX.MDP3
