ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,dataset
2026-05-18 00:00:00+00:00,35,103,15,105.885,105.99,105.84,105.84,13823,15,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,101,6,119.8,120.73,119.8,120.62,35,6,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,103,21,114.73,115.07,114.7,114.95,65338,21,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,101,1228,386.7,392.7,386.2,392.3,1110,1228,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,101,690,23812.0,24480.0,23676.0,24421.0,35940,690,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,101,22634,22.05,22.7,21.6,21.75,11563,22634,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,101,21,114.72,115.09,114.63,114.98,845585,21,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,103,803,5780.0,5880.0,5780.0,5852.0,82368,803,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,103,33,118.07,118.74,118.07,118.44,44107,33,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,101,27,105.76,106.52,105.32,106.22,182996,27,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,103,18,124.02,124.51,123.87,124.22,70265,18,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,103,24,105.57,105.69,105.57,105.655,68466,24,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,101,12,116.05,116.97,115.92,116.64,386359,12,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,101,1353,601.0,612.4,598.6,612.3,121251,1353,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,101,15,105.84,106.02,105.8,105.94,216631,15,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,103,27,105.78,106.5,105.62,105.84,10330,27,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,101,18,123.91,124.54,123.74,124.34,1276563,18,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,101,24,105.58,105.715,105.55,105.665,689816,24,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,103,1228,391.2,391.5,391.2,391.5,305,1228,XEUR.EOBI
2026-05-18 00:00:00+00:00,35,101,803,5770.0,5884.0,5736.0,5875.0,751862,803,XEUR.EOBI
