root,purpose,raw_symbol,resolved_d0,resolved_d1,instrument_id
ZF,daily,ZFU0,2019-12-18,2020-10-28,519170
ZF,daily,ZFZ0,2010-12-31,2011-10-23,460018
ZF,daily,ZFZ0,2020-03-17,2021-01-14,387791
ZF,daily,ZFH1,2010-12-31,2011-12-25,894679
ZF,daily,ZFH1,2020-06-16,2021-04-14,423628
ZF,daily,ZFM1,2010-12-31,2012-01-15,822298
ZF,daily,ZFM1,2020-09-16,2021-07-15,798160
ZF,daily,ZFU1,2010-12-31,2011-11-06,9789
ZF,daily,ZFU1,2020-12-18,2021-10-18,312739
ZF,daily,ZFZ1,2010-12-31,2012-01-29,812215
ZF,daily,ZFZ1,2021-03-17,2022-01-16,160021
ZF,daily,ZFH2,2010-12-31,2012-04-29,51040
ZF,daily,ZFH2,2021-06-16,2022-04-18,291911
ZF,daily,ZFM2,2011-03-14,2012-08-28,465961
ZF,daily,ZFM2,2021-09-16,2022-07-26,357137
ZF,daily,ZFU2,2011-06-16,2014-06-08,568618
ZF,daily,ZFU2,2021-12-19,2022-10-09,94237
ZF,daily,ZFZ2,2011-09-18,2015-05-27,197568
ZF,daily,ZFZ2,2022-03-17,2024-01-01,406280
ZF,daily,ZFH3,2011-12-18,2014-12-14,855988
ZF,daily,ZFH3,2022-06-16,2024-01-01,492654
ZF,daily,ZFM3,2012-03-18,2020-03-18,386123
ZF,daily,ZFM3,2022-09-18,2024-01-01,687964
ZF,daily,ZFU3,2012-06-17,2016-08-07,657418
ZF,daily,ZFU3,2022-12-18,2024-01-01,404144
ZF,daily,ZFZ3,2012-09-16,2014-03-23,484352
ZF,daily,ZFZ3,2023-03-19,2024-01-01,410749
ZF,daily,ZFH4,2012-12-17,2018-01-14,661700
ZF,daily,ZFH4,2023-06-18,2024-01-01,4130291
