provider_symbol,local_contract,timestamp_utc,completed_trading_date,open,high,low,close,volume,source_file,source_file_sha256,row_number
MES,MES 06-26,2026-05-18T21:00:00Z,2026-05-18,7410.25,7454.25,7372.75,7425.75,1904584,MES_06-26_Daily_Last_2026-05-18_2026-05-22_TEMPLATE_SESSION_END_UTC.csv,39C9572844D184523CBC47E394BEDAB8BAC246F7CDB9134FEF2535F68325984E,1
MES,MES 06-26,2026-05-19T21:00:00Z,2026-05-19,7423,7440.75,7353.75,7378,1638003,MES_06-26_Daily_Last_2026-05-18_2026-05-22_TEMPLATE_SESSION_END_UTC.csv,39C9572844D184523CBC47E394BEDAB8BAC246F7CDB9134FEF2535F68325984E,2
MES,MES 06-26,2026-05-20T21:00:00Z,2026-05-20,7377.75,7458,7356,7451.75,1470962,MES_06-26_Daily_Last_2026-05-18_2026-05-22_TEMPLATE_SESSION_END_UTC.csv,39C9572844D184523CBC47E394BEDAB8BAC246F7CDB9134FEF2535F68325984E,3
MES,MES 06-26,2026-05-21T21:00:00Z,2026-05-21,7433.25,7486.75,7407.5,7466,1625141,MES_06-26_Daily_Last_2026-05-18_2026-05-22_TEMPLATE_SESSION_END_UTC.csv,39C9572844D184523CBC47E394BEDAB8BAC246F7CDB9134FEF2535F68325984E,4
MES,MES 06-26,2026-05-22T21:00:00Z,2026-05-22,7467.5,7524,7466.5,7491,1150830,MES_06-26_Daily_Last_2026-05-18_2026-05-22_TEMPLATE_SESSION_END_UTC.csv,39C9572844D184523CBC47E394BEDAB8BAC246F7CDB9134FEF2535F68325984E,5
