period_label,stage,checks_passed,checks_total,net_after_fees_usd,gross_pnl_usd,fees_usd,nonzero_episode_count,winning_episode_count,episode_win_rate,position_change_fee_sides,roll_transition_fee_sides,total_fee_sides,max_runtime_lag_days,provider_api_access,new_data_download,oos_lockbox_forward,promotion
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,40,40,5342.630000000004,10343.75,5001.12,1015,643,0.6334975369458128,3306,6,3312,1,NO,NO,NO,NO
ZN_2024_VALIDATION,VALIDATION,40,40,24618.820000000003,29968.75,5349.93,699,474,0.6781115879828327,3541,2,3543,1,NO,NO,NO,NO
