foundation_scope,series_label,strategy_use_status,book_symbol,continuous_row_date,continuous_timestamp_utc,source_contract,source_provider_symbol,source_instrument_id,source_completed_trading_date,daily_price_semantics,daily_price_field,provider_timestamp_policy,completed_trading_date_policy,adjustment_method,adjustment_factor_or_offset,provider_condition_readiness_status,lineage_policy_status,settlement_policy,execution_status,source_timestamp_utc,source_open,source_high,source_low,source_close,source_volume,adjusted_open,adjusted_high,adjusted_low,adjusted_close,source_fragment_table_sha256,source_archive_sha256,roll_policy_status
SOURCE_NATIVE_FUTURES_DAILY_DATA_FOUNDATION,ZN_LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY,DEV_RECON_ONLY_NOT_TEST_NOT_VALIDATION_NOT_BACKTEST_READY,ZN,2025-11-02,2025-11-02T00:00:00Z,ZNH6,ZNH6,42004475,2025-11-02,TRADE_BAR_CLOSE_NOT_OFFICIAL_SETTLEMENT,DATABENTO_OHLCV_1D_CLOSE,UTC_MIDNIGHT_PROVIDER_DAILY_BAR_TIMESTAMP_NOT_EXCHANGE_SESSION_END,CARRIED_FROM_SOURCE_QUARANTINE_COMPLETED_TRADING_DATE_INCLUDING_SUNDAY_GLOBEX_SESSIONS,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL,-0.0781250000,ROW_READY_PROVIDER_CONDITION_NORMAL,PASS_ZN_LOCAL_LINEAGE_DEV_RECON_ONLY,BLOCKED_PENDING_OFFICIAL_SETTLEMENT_SOURCE_GATE,LOCAL_CONTINUOUS_CONSTRUCTION_DEV_RECON_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST_NOT_PROMOTION,2025-11-02T00:00:00Z,112.734375,112.765625,112.734375,112.765625,2,112.6562500000,112.6875000000,112.6562500000,112.6875000000,1CD183CB24E3C4A4CC569AA13C263114E3C4DF8423026D28C5430CBD8C512DA5,F34BDBEB916332B58F1CED5890FD02D501781403E91BE78508AEB0804B6B5584,ROLL_POLICY_LOCKED_FOR_ZN_DEV_RECON_LINEAGE_ONLY
SOURCE_NATIVE_FUTURES_DAILY_DATA_FOUNDATION,ZN_LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY,DEV_RECON_ONLY_NOT_TEST_NOT_VALIDATION_NOT_BACKTEST_READY,ZN,2025-11-03,2025-11-03T00:00:00Z,ZNH6,ZNH6,42004475,2025-11-03,TRADE_BAR_CLOSE_NOT_OFFICIAL_SETTLEMENT,DATABENTO_OHLCV_1D_CLOSE,UTC_MIDNIGHT_PROVIDER_DAILY_BAR_TIMESTAMP_NOT_EXCHANGE_SESSION_END,CARRIED_FROM_SOURCE_QUARANTINE_COMPLETED_TRADING_DATE_INCLUDING_SUNDAY_GLOBEX_SESSIONS,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL,-0.0781250000,ROW_READY_PROVIDER_CONDITION_NORMAL,PASS_ZN_LOCAL_LINEAGE_DEV_RECON_ONLY,BLOCKED_PENDING_OFFICIAL_SETTLEMENT_SOURCE_GATE,LOCAL_CONTINUOUS_CONSTRUCTION_DEV_RECON_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST_NOT_PROMOTION,2025-11-03T00:00:00Z,112.6875,112.765625,112.515625,112.59375,2237,112.6093750000,112.6875000000,112.4375000000,112.5156250000,1CD183CB24E3C4A4CC569AA13C263114E3C4DF8423026D28C5430CBD8C512DA5,F34BDBEB916332B58F1CED5890FD02D501781403E91BE78508AEB0804B6B5584,ROLL_POLICY_LOCKED_FOR_ZN_DEV_RECON_LINEAGE_ONLY
SOURCE_NATIVE_FUTURES_DAILY_DATA_FOUNDATION,ZN_LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY,DEV_RECON_ONLY_NOT_TEST_NOT_VALIDATION_NOT_BACKTEST_READY,ZN,2025-11-04,2025-11-04T00:00:00Z,ZNH6,ZNH6,42004475,2025-11-04,TRADE_BAR_CLOSE_NOT_OFFICIAL_SETTLEMENT,DATABENTO_OHLCV_1D_CLOSE,UTC_MIDNIGHT_PROVIDER_DAILY_BAR_TIMESTAMP_NOT_EXCHANGE_SESSION_END,CARRIED_FROM_SOURCE_QUARANTINE_COMPLETED_TRADING_DATE_INCLUDING_SUNDAY_GLOBEX_SESSIONS,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL,-0.0781250000,ROW_READY_PROVIDER_CONDITION_NORMAL,PASS_ZN_LOCAL_LINEAGE_DEV_RECON_ONLY,BLOCKED_PENDING_OFFICIAL_SETTLEMENT_SOURCE_GATE,LOCAL_CONTINUOUS_CONSTRUCTION_DEV_RECON_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST_NOT_PROMOTION,2025-11-04T00:00:00Z,112.59375,112.796875,112.5625,112.75,2922,112.5156250000,112.7187500000,112.4843750000,112.6718750000,1CD183CB24E3C4A4CC569AA13C263114E3C4DF8423026D28C5430CBD8C512DA5,F34BDBEB916332B58F1CED5890FD02D501781403E91BE78508AEB0804B6B5584,ROLL_POLICY_LOCKED_FOR_ZN_DEV_RECON_LINEAGE_ONLY
SOURCE_NATIVE_FUTURES_DAILY_DATA_FOUNDATION,ZN_LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY,DEV_RECON_ONLY_NOT_TEST_NOT_VALIDATION_NOT_BACKTEST_READY,ZN,2025-11-05,2025-11-05T00:00:00Z,ZNH6,ZNH6,42004475,2025-11-05,TRADE_BAR_CLOSE_NOT_OFFICIAL_SETTLEMENT,DATABENTO_OHLCV_1D_CLOSE,UTC_MIDNIGHT_PROVIDER_DAILY_BAR_TIMESTAMP_NOT_EXCHANGE_SESSION_END,CARRIED_FROM_SOURCE_QUARANTINE_COMPLETED_TRADING_DATE_INCLUDING_SUNDAY_GLOBEX_SESSIONS,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL,-0.0781250000,ROW_READY_PROVIDER_CONDITION_NORMAL,PASS_ZN_LOCAL_LINEAGE_DEV_RECON_ONLY,BLOCKED_PENDING_OFFICIAL_SETTLEMENT_SOURCE_GATE,LOCAL_CONTINUOUS_CONSTRUCTION_DEV_RECON_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST_NOT_PROMOTION,2025-11-05T00:00:00Z,112.796875,112.96875,112.21875,112.28125,5224,112.7187500000,112.8906250000,112.1406250000,112.2031250000,1CD183CB24E3C4A4CC569AA13C263114E3C4DF8423026D28C5430CBD8C512DA5,F34BDBEB916332B58F1CED5890FD02D501781403E91BE78508AEB0804B6B5584,ROLL_POLICY_LOCKED_FOR_ZN_DEV_RECON_LINEAGE_ONLY
SOURCE_NATIVE_FUTURES_DAILY_DATA_FOUNDATION,ZN_LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY,DEV_RECON_ONLY_NOT_TEST_NOT_VALIDATION_NOT_BACKTEST_READY,ZN,2025-11-06,2025-11-06T00:00:00Z,ZNH6,ZNH6,42004475,2025-11-06,TRADE_BAR_CLOSE_NOT_OFFICIAL_SETTLEMENT,DATABENTO_OHLCV_1D_CLOSE,UTC_MIDNIGHT_PROVIDER_DAILY_BAR_TIMESTAMP_NOT_EXCHANGE_SESSION_END,CARRIED_FROM_SOURCE_QUARANTINE_COMPLETED_TRADING_DATE_INCLUDING_SUNDAY_GLOBEX_SESSIONS,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL,-0.0781250000,ROW_READY_PROVIDER_CONDITION_NORMAL,PASS_ZN_LOCAL_LINEAGE_DEV_RECON_ONLY,BLOCKED_PENDING_OFFICIAL_SETTLEMENT_SOURCE_GATE,LOCAL_CONTINUOUS_CONSTRUCTION_DEV_RECON_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST_NOT_PROMOTION,2025-11-06T00:00:00Z,112.28125,112.859375,112.28125,112.75,7998,112.2031250000,112.7812500000,112.2031250000,112.6718750000,1CD183CB24E3C4A4CC569AA13C263114E3C4DF8423026D28C5430CBD8C512DA5,F34BDBEB916332B58F1CED5890FD02D501781403E91BE78508AEB0804B6B5584,ROLL_POLICY_LOCKED_FOR_ZN_DEV_RECON_LINEAGE_ONLY
SOURCE_NATIVE_FUTURES_DAILY_DATA_FOUNDATION,ZN_LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY,DEV_RECON_ONLY_NOT_TEST_NOT_VALIDATION_NOT_BACKTEST_READY,ZN,2025-11-07,2025-11-07T00:00:00Z,ZNH6,ZNH6,42004475,2025-11-07,TRADE_BAR_CLOSE_NOT_OFFICIAL_SETTLEMENT,DATABENTO_OHLCV_1D_CLOSE,UTC_MIDNIGHT_PROVIDER_DAILY_BAR_TIMESTAMP_NOT_EXCHANGE_SESSION_END,CARRIED_FROM_SOURCE_QUARANTINE_COMPLETED_TRADING_DATE_INCLUDING_SUNDAY_GLOBEX_SESSIONS,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL,-0.0781250000,ROW_READY_PROVIDER_CONDITION_NORMAL,PASS_ZN_LOCAL_LINEAGE_DEV_RECON_ONLY,BLOCKED_PENDING_OFFICIAL_SETTLEMENT_SOURCE_GATE,LOCAL_CONTINUOUS_CONSTRUCTION_DEV_RECON_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST_NOT_PROMOTION,2025-11-07T00:00:00Z,112.765625,112.96875,112.640625,112.734375,4057,112.6875000000,112.8906250000,112.5625000000,112.6562500000,1CD183CB24E3C4A4CC569AA13C263114E3C4DF8423026D28C5430CBD8C512DA5,F34BDBEB916332B58F1CED5890FD02D501781403E91BE78508AEB0804B6B5584,ROLL_POLICY_LOCKED_FOR_ZN_DEV_RECON_LINEAGE_ONLY
SOURCE_NATIVE_FUTURES_DAILY_DATA_FOUNDATION,ZN_LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY,DEV_RECON_ONLY_NOT_TEST_NOT_VALIDATION_NOT_BACKTEST_READY,ZN,2025-11-09,2025-11-09T00:00:00Z,ZNH6,ZNH6,42004475,2025-11-09,TRADE_BAR_CLOSE_NOT_OFFICIAL_SETTLEMENT,DATABENTO_OHLCV_1D_CLOSE,UTC_MIDNIGHT_PROVIDER_DAILY_BAR_TIMESTAMP_NOT_EXCHANGE_SESSION_END,CARRIED_FROM_SOURCE_QUARANTINE_COMPLETED_TRADING_DATE_INCLUDING_SUNDAY_GLOBEX_SESSIONS,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL,-0.0781250000,ROW_READY_PROVIDER_CONDITION_NORMAL,PASS_ZN_LOCAL_LINEAGE_DEV_RECON_ONLY,BLOCKED_PENDING_OFFICIAL_SETTLEMENT_SOURCE_GATE,LOCAL_CONTINUOUS_CONSTRUCTION_DEV_RECON_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST_NOT_PROMOTION,2025-11-09T00:00:00Z,112.65625,112.65625,112.53125,112.546875,160,112.5781250000,112.5781250000,112.4531250000,112.4687500000,1CD183CB24E3C4A4CC569AA13C263114E3C4DF8423026D28C5430CBD8C512DA5,F34BDBEB916332B58F1CED5890FD02D501781403E91BE78508AEB0804B6B5584,ROLL_POLICY_LOCKED_FOR_ZN_DEV_RECON_LINEAGE_ONLY
SOURCE_NATIVE_FUTURES_DAILY_DATA_FOUNDATION,ZN_LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY,DEV_RECON_ONLY_NOT_TEST_NOT_VALIDATION_NOT_BACKTEST_READY,ZN,2025-11-10,2025-11-10T00:00:00Z,ZNH6,ZNH6,42004475,2025-11-10,TRADE_BAR_CLOSE_NOT_OFFICIAL_SETTLEMENT,DATABENTO_OHLCV_1D_CLOSE,UTC_MIDNIGHT_PROVIDER_DAILY_BAR_TIMESTAMP_NOT_EXCHANGE_SESSION_END,CARRIED_FROM_SOURCE_QUARANTINE_COMPLETED_TRADING_DATE_INCLUDING_SUNDAY_GLOBEX_SESSIONS,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL,-0.0781250000,ROW_READY_PROVIDER_CONDITION_NORMAL,PASS_ZN_LOCAL_LINEAGE_DEV_RECON_ONLY,BLOCKED_PENDING_OFFICIAL_SETTLEMENT_SOURCE_GATE,LOCAL_CONTINUOUS_CONSTRUCTION_DEV_RECON_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST_NOT_PROMOTION,2025-11-10T00:00:00Z,112.5625,112.71875,112.40625,112.578125,6010,112.4843750000,112.6406250000,112.3281250000,112.5000000000,1CD183CB24E3C4A4CC569AA13C263114E3C4DF8423026D28C5430CBD8C512DA5,F34BDBEB916332B58F1CED5890FD02D501781403E91BE78508AEB0804B6B5584,ROLL_POLICY_LOCKED_FOR_ZN_DEV_RECON_LINEAGE_ONLY
SOURCE_NATIVE_FUTURES_DAILY_DATA_FOUNDATION,ZN_LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY,DEV_RECON_ONLY_NOT_TEST_NOT_VALIDATION_NOT_BACKTEST_READY,ZN,2025-11-11,2025-11-11T00:00:00Z,ZNH6,ZNH6,42004475,2025-11-11,TRADE_BAR_CLOSE_NOT_OFFICIAL_SETTLEMENT,DATABENTO_OHLCV_1D_CLOSE,UTC_MIDNIGHT_PROVIDER_DAILY_BAR_TIMESTAMP_NOT_EXCHANGE_SESSION_END,CARRIED_FROM_SOURCE_QUARANTINE_COMPLETED_TRADING_DATE_INCLUDING_SUNDAY_GLOBEX_SESSIONS,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL,-0.0781250000,ROW_READY_PROVIDER_CONDITION_NORMAL,PASS_ZN_LOCAL_LINEAGE_DEV_RECON_ONLY,BLOCKED_PENDING_OFFICIAL_SETTLEMENT_SOURCE_GATE,LOCAL_CONTINUOUS_CONSTRUCTION_DEV_RECON_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST_NOT_PROMOTION,2025-11-11T00:00:00Z,112.578125,112.984375,112.5625,112.953125,2334,112.5000000000,112.9062500000,112.4843750000,112.8750000000,1CD183CB24E3C4A4CC569AA13C263114E3C4DF8423026D28C5430CBD8C512DA5,F34BDBEB916332B58F1CED5890FD02D501781403E91BE78508AEB0804B6B5584,ROLL_POLICY_LOCKED_FOR_ZN_DEV_RECON_LINEAGE_ONLY
SOURCE_NATIVE_FUTURES_DAILY_DATA_FOUNDATION,ZN_LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY,DEV_RECON_ONLY_NOT_TEST_NOT_VALIDATION_NOT_BACKTEST_READY,ZN,2025-11-12,2025-11-12T00:00:00Z,ZNH6,ZNH6,42004475,2025-11-12,TRADE_BAR_CLOSE_NOT_OFFICIAL_SETTLEMENT,DATABENTO_OHLCV_1D_CLOSE,UTC_MIDNIGHT_PROVIDER_DAILY_BAR_TIMESTAMP_NOT_EXCHANGE_SESSION_END,CARRIED_FROM_SOURCE_QUARANTINE_COMPLETED_TRADING_DATE_INCLUDING_SUNDAY_GLOBEX_SESSIONS,LOCAL_ADDITIVE_BACK_ADJUSTMENT_OLD_HISTORY_TO_NEW_CONTRACT_LEVEL,-0.0781250000,ROW_READY_PROVIDER_CONDITION_NORMAL,PASS_ZN_LOCAL_LINEAGE_DEV_RECON_ONLY,BLOCKED_PENDING_OFFICIAL_SETTLEMENT_SOURCE_GATE,LOCAL_CONTINUOUS_CONSTRUCTION_DEV_RECON_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST_NOT_PROMOTION,2025-11-12T00:00:00Z,112.9375,113.015625,112.78125,112.921875,10509,112.8593750000,112.9375000000,112.7031250000,112.8437500000,1CD183CB24E3C4A4CC569AA13C263114E3C4DF8423026D28C5430CBD8C512DA5,F34BDBEB916332B58F1CED5890FD02D501781403E91BE78508AEB0804B6B5584,ROLL_POLICY_LOCKED_FOR_ZN_DEV_RECON_LINEAGE_ONLY
