dataset,instrument_count,request_start_utc,request_end_utc_exclusive,estimated_cost_usd,cost_status
GLBX.MDP3,52,2026-05-18T00:00:00Z,2026-05-23T00:00:00Z,0.002556592226,PASS_METADATA_COST_ESTIMATE
XCBF.PITCH,1,2026-05-18T00:00:00Z,2026-05-23T00:00:00Z,0.004693865776,PASS_METADATA_COST_ESTIMATE
XEUR.EOBI,13,2026-05-18T00:00:00Z,2026-05-23T00:00:00Z,0.011682510376,PASS_METADATA_COST_ESTIMATE
