ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2019-05-05 00:00:00+00:00,35,1,7849,2925.75,2926.75,2892.75,2893.75,787,MESM9
2019-05-06 00:00:00+00:00,35,1,7849,2895.25,2938.0,2883.75,2918.25,162154,MESM9
2019-05-07 00:00:00+00:00,35,1,7849,2918.5,2930.75,2862.5,2884.75,245769,MESM9
2019-05-08 00:00:00+00:00,35,1,7849,2885.25,2899.25,2868.75,2881.5,255047,MESM9
2019-05-09 00:00:00+00:00,35,1,7849,2881.25,2883.5,2836.25,2873.75,344372,MESM9
2019-05-10 00:00:00+00:00,35,1,7849,2874.0,2893.0,2826.0,2887.25,389261,MESM9
2019-05-12 00:00:00+00:00,35,1,7849,2881.25,2881.25,2856.75,2857.0,7963,MESM9
2019-05-13 00:00:00+00:00,35,1,7849,2857.0,2861.25,2799.5,2803.75,382144,MESM9
2019-05-14 00:00:00+00:00,35,1,7849,2803.5,2854.0,2803.25,2842.0,179260,MESM9
2019-05-15 00:00:00+00:00,35,1,7849,2842.0,2860.0,2815.0,2852.25,217633,MESM9
2019-05-16 00:00:00+00:00,35,1,7849,2851.75,2894.25,2840.5,2881.75,219144,MESM9
2019-05-17 00:00:00+00:00,35,1,7849,2881.5,2887.75,2852.5,2861.5,299292,MESM9
2019-05-19 00:00:00+00:00,35,1,7849,2861.5,2873.0,2861.5,2870.75,4092,MESM9
2019-05-20 00:00:00+00:00,35,1,7849,2871.0,2876.75,2832.25,2849.75,262358,MESM9
2019-05-21 00:00:00+00:00,35,1,7849,2850.0,2870.75,2846.5,2867.25,158340,MESM9
2019-05-22 00:00:00+00:00,35,1,7849,2867.0,2869.75,2848.5,2854.25,175832,MESM9
2019-05-23 00:00:00+00:00,35,1,7849,2854.75,2855.5,2805.5,2823.0,304042,MESM9
2019-05-24 00:00:00+00:00,35,1,7849,2823.5,2842.0,2820.75,2830.75,169987,MESM9
2019-05-26 00:00:00+00:00,35,1,7849,2831.0,2835.0,2829.25,2830.75,1842,MESM9
2019-05-27 00:00:00+00:00,35,1,7849,2830.5,2839.0,2826.25,2833.25,19037,MESM9
2019-05-28 00:00:00+00:00,35,1,7849,2833.25,2841.25,2800.5,2804.5,193689,MESM9
2019-05-29 00:00:00+00:00,35,1,7849,2804.75,2805.5,2766.25,2781.5,300123,MESM9
2019-05-30 00:00:00+00:00,35,1,7849,2781.75,2799.25,2764.5,2766.0,208287,MESM9
2019-05-31 00:00:00+00:00,35,1,7849,2766.25,2775.75,2750.0,2752.75,316554,MESM9
2019-06-02 00:00:00+00:00,35,1,7849,2742.25,2744.25,2732.25,2736.0,9894,MESM9
2019-06-03 00:00:00+00:00,35,1,7849,2736.0,2763.75,2728.75,2751.0,409776,MESM9
2019-06-04 00:00:00+00:00,35,1,7849,2751.25,2813.25,2744.0,2812.0,267959,MESM9
2019-06-05 00:00:00+00:00,35,1,7849,2812.25,2829.75,2800.75,2822.5,314875,MESM9
2019-06-06 00:00:00+00:00,35,1,7849,2822.5,2853.25,2821.75,2844.5,252996,MESM9
2019-06-07 00:00:00+00:00,35,1,7849,2844.75,2886.25,2842.0,2877.75,227823,MESM9
2019-06-09 00:00:00+00:00,35,1,7849,2891.0,2900.0,2887.25,2887.5,5747,MESM9
2019-06-10 00:00:00+00:00,35,1,7849,2887.25,2905.75,2880.5,2886.75,162831,MESM9
2019-06-11 00:00:00+00:00,35,1,7849,2886.75,2911.5,2879.25,2885.25,224841,MESM9
2019-06-12 00:00:00+00:00,35,1,7849,2885.25,2890.75,2875.25,2885.5,170388,MESM9
2019-06-13 00:00:00+00:00,35,1,7849,2885.25,2896.5,2867.5,2891.25,199801,MESM9
2019-06-14 00:00:00+00:00,35,1,7849,2891.5,2898.75,2880.5,2891.75,80886,MESM9
2019-06-16 00:00:00+00:00,35,1,7849,2890.5,2897.5,2887.5,2895.75,668,MESM9
2019-06-17 00:00:00+00:00,35,1,7849,2895.25,2900.5,2887.5,2892.0,18282,MESM9
2019-06-18 00:00:00+00:00,35,1,7849,2891.75,2931.75,2884.5,2924.0,18096,MESM9
2019-06-19 00:00:00+00:00,35,1,7849,2924.0,2938.5,2910.75,2937.25,14673,MESM9
2019-06-20 00:00:00+00:00,35,1,7849,2936.5,2959.75,2931.75,2954.0,9959,MESM9
2019-06-21 00:00:00+00:00,35,1,7849,2952.5,2956.75,2944.0,2950.0,1114,MESM9
