period_label,stage,forecast_rows,nonzero_forecast_rows,zero_forecast_rows,mean_abs_capped_forecast_all_rows,mean_abs_capped_forecast_nonzero_rows,cap_saturation_rows,cap_saturation_fraction,trend_opposition_zeroed_rows,trend_opposition_zeroed_fraction,average_vol_multiplier_m_ewma10,average_quantile_q,opus_scalar_acceptance_band,opus_saturation_acceptance_max,scalar_calibration_status,interpretation
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,11771,5697,6074,1.2153834481699717,2.5111951146934763,17,0.0014442273383739699,6074,0.5160139325460879,0.8235391212450076,0.7802269068424686,9.0-11.0,0.3,FAILS_OPUS_HEURISTIC_RECORDED_NO_TUNING,SINGLE_INSTRUMENT_ZN_SAMPLE_EVIDENCE_ONLY_NOT_PARAMETER_TUNING
ZN_2024_VALIDATION,VALIDATION,5919,2962,2957,1.819664070451931,3.636256459488514,35,0.0059131610069268455,2957,0.49957763135664807,1.300626336941429,0.45470316955566337,9.0-11.0,0.3,FAILS_OPUS_HEURISTIC_RECORDED_NO_TUNING,SINGLE_INSTRUMENT_ZN_SAMPLE_EVIDENCE_ONLY_NOT_PARAMETER_TUNING
