ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2012-01-04 00:00:00+00:00,35,1,465961,123.0859375,123.0859375,122.859375,122.9296875,60,ZFM2
2012-01-05 00:00:00+00:00,35,1,465961,122.8359375,122.8671875,122.8203125,122.8671875,51,ZFM2
2012-01-06 00:00:00+00:00,35,1,465961,122.6328125,122.9453125,122.625,122.9453125,3,ZFM2
2012-01-09 00:00:00+00:00,35,1,465961,122.96875,123.125,122.96875,123.125,56,ZFM2
2012-01-10 00:00:00+00:00,35,1,465961,123.0078125,123.1015625,123.0078125,123.1015625,3,ZFM2
2012-01-12 00:00:00+00:00,35,1,465961,123.1875,123.1875,123.1875,123.1875,1,ZFM2
2012-01-13 00:00:00+00:00,35,1,465961,123.3046875,123.453125,123.296875,123.453125,77,ZFM2
2012-01-17 00:00:00+00:00,35,1,465961,123.28125,123.453125,123.28125,123.40625,49,ZFM2
2012-01-18 00:00:00+00:00,35,1,465961,123.3125,123.3125,123.3046875,123.3046875,5,ZFM2
2012-01-20 00:00:00+00:00,35,1,465961,122.9375,122.9375,122.921875,122.921875,31,ZFM2
2012-01-23 00:00:00+00:00,35,1,465961,123.1015625,123.1015625,122.7578125,122.8671875,141,ZFM2
2012-01-24 00:00:00+00:00,35,1,465961,122.8984375,122.90625,122.859375,122.90625,219,ZFM2
2012-01-25 00:00:00+00:00,35,1,465961,122.921875,123.609375,122.9140625,123.4609375,321,ZFM2
2012-01-26 00:00:00+00:00,35,1,465961,123.5625,123.796875,123.5625,123.6953125,94,ZFM2
2012-01-27 00:00:00+00:00,35,1,465961,123.640625,123.796875,123.640625,123.7734375,343,ZFM2
2012-01-29 00:00:00+00:00,35,1,465961,123.78125,123.78125,123.78125,123.78125,1,ZFM2
2012-01-30 00:00:00+00:00,35,1,465961,123.9375,123.9375,123.875,123.9140625,442,ZFM2
2012-01-31 00:00:00+00:00,35,1,465961,123.8125,123.984375,123.8125,123.984375,1610,ZFM2
