period_label,stage,baseline_mode,trial,row_count,average_abs_position_all_rows,average_abs_position_active_rows,gross_pnl_usd,fees_usd,net_after_fees_usd,baseline_status,random_net_stdev,random_net_min,random_net_max,live_net_minus_random_mean,live_net_z_vs_random,positive_null_net_minus_constant_long,positive_null_z_vs_random
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,19,11770,0.3201359388275276,1.485218762317698,9328.125,10257.43000000077,-929.3050000007697,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,20,11770,0.3201359388275276,1.485218762317698,16218.75,10162.30000000075,6056.4499999992495,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,21,11770,0.3201359388275276,1.485218762317698,671.875,10095.8600000007,-9423.9850000007,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,22,11770,0.3201359388275276,1.485218762317698,-8687.5,10268.000000000744,-18955.500000000742,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,23,11770,0.3201359388275276,1.485218762317698,-4718.75,10144.18000000074,-14862.93000000074,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,24,11770,0.3201359388275276,1.485218762317698,-19031.25,10234.780000000765,-29266.030000000763,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,25,11770,0.3201359388275276,1.485218762317698,6625.0,10200.050000000738,-3575.050000000738,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,26,11770,0.3201359388275276,1.485218762317698,-4453.125,10186.460000000732,-14639.585000000732,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,27,11770,0.3201359388275276,1.485218762317698,6015.625,10113.980000000716,-4098.355000000716,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,28,11770,0.3201359388275276,1.485218762317698,-9671.875,10216.660000000726,-19888.535000000724,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,29,11770,0.3201359388275276,1.485218762317698,-7468.75,10165.320000000751,-17634.07000000075,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,30,11770,0.3201359388275276,1.485218762317698,2015.625,10190.990000000744,-8175.365000000744,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,31,11770,0.3201359388275276,1.485218762317698,2343.75,10206.090000000782,-7862.340000000782,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,32,11770,0.3201359388275276,1.485218762317698,10484.375,10187.970000000734,296.4049999992658,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,33,11770,0.3201359388275276,1.485218762317698,5609.375,10183.440000000748,-4574.065000000748,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,34,11770,0.3201359388275276,1.485218762317698,2359.375,10192.500000000748,-7833.125000000748,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,35,11770,0.3201359388275276,1.485218762317698,9828.125,10289.140000000754,-461.0150000007543,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,36,11770,0.3201359388275276,1.485218762317698,-4156.25,10186.46000000076,-14342.71000000076,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,37,11770,0.3201359388275276,1.485218762317698,15125.0,10148.71000000071,4976.28999999929,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,38,11770,0.3201359388275276,1.485218762317698,20281.25,10144.180000000739,10137.069999999261,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,39,11770,0.3201359388275276,1.485218762317698,-906.25,10292.16000000076,-11198.41000000076,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,40,11770,0.3201359388275276,1.485218762317698,2531.25,10095.860000000715,-7564.610000000715,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,41,11770,0.3201359388275276,1.485218762317698,-19984.375,10135.12000000077,-30119.49500000077,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,42,11770,0.3201359388275276,1.485218762317698,12296.875,10174.380000000756,2122.494999999244,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,43,11770,0.3201359388275276,1.485218762317698,7375.0,10183.440000000734,-2808.4400000007336,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,44,11770,0.3201359388275276,1.485218762317698,-1343.75,10184.950000000727,-11528.700000000727,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,45,11770,0.3201359388275276,1.485218762317698,2453.125,10177.400000000769,-7724.275000000769,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,RANDOM_POSITION_PERMUTATION,46,11770,0.3201359388275276,1.485218762317698,11953.125,10222.70000000077,1730.4249999992298,DETERMINISTIC_RANDOM_POSITION_NULL_NOT_ALPHA_STATISTIC,,,,,,,
