lane_class,root,asset_group,row_id,book_label,raw_symbol,instrument_id,completed_trading_date,provider_condition_status,additive_back_adjustment,raw_close,continuous_close,lineage_status,derived_completed_bar_end_utc,raw_open,raw_high,raw_low,raw_volume,continuous_open,continuous_high,continuous_low,continuous_volume
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH2,768155,2022-01-03,PROVIDER_CONDITION_AVAILABLE,2.1875,130.34375,132.53125,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2022-01-03T01:00:00Z,130.328125,130.34375,130.28125,6407.0,132.515625,132.53125,132.46875,6407.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH2,768155,2022-01-03,PROVIDER_CONDITION_AVAILABLE,2.1875,130.328125,132.515625,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2022-01-03T02:00:00Z,130.34375,130.34375,130.296875,4191.0,132.53125,132.53125,132.484375,4191.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH2,768155,2022-01-03,PROVIDER_CONDITION_AVAILABLE,2.1875,130.296875,132.484375,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2022-01-03T03:00:00Z,130.328125,130.328125,130.296875,4075.0,132.515625,132.515625,132.484375,4075.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH2,768155,2022-01-03,PROVIDER_CONDITION_AVAILABLE,2.1875,130.28125,132.46875,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2022-01-03T04:00:00Z,130.3125,130.328125,130.28125,2763.0,132.5,132.515625,132.46875,2763.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH2,768155,2022-01-03,PROVIDER_CONDITION_AVAILABLE,2.1875,130.265625,132.453125,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2022-01-03T05:00:00Z,130.296875,130.296875,130.265625,2533.0,132.484375,132.484375,132.453125,2533.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH2,768155,2022-01-03,PROVIDER_CONDITION_AVAILABLE,2.1875,130.25,132.4375,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2022-01-03T06:00:00Z,130.28125,130.28125,130.21875,5883.0,132.46875,132.46875,132.40625,5883.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH2,768155,2022-01-03,PROVIDER_CONDITION_AVAILABLE,2.1875,130.25,132.4375,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2022-01-03T07:00:00Z,130.25,130.25,130.21875,3564.0,132.4375,132.4375,132.40625,3564.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH2,768155,2022-01-03,PROVIDER_CONDITION_AVAILABLE,2.1875,130.21875,132.40625,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2022-01-03T08:00:00Z,130.234375,130.25,130.203125,5817.0,132.421875,132.4375,132.390625,5817.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH2,768155,2022-01-03,PROVIDER_CONDITION_AVAILABLE,2.1875,130.140625,132.328125,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2022-01-03T09:00:00Z,130.21875,130.21875,130.078125,38800.0,132.40625,132.40625,132.265625,38800.0
SOURCE_NATIVE_FUTURES,ZN,bond,APPENDIX_C_172_004,10-year US,ZNH2,768155,2022-01-03,PROVIDER_CONDITION_AVAILABLE,2.1875,130.21875,132.40625,DEV_RECON_LOCAL_BACK_ADJUSTED_DATED_CONTRACT_CHAIN,2022-01-03T10:00:00Z,130.140625,130.21875,130.09375,22829.0,132.328125,132.40625,132.28125,22829.0
