old_contract_key,new_contract_key,first_notice_proxy,roll_transition_date,old_raw_symbol,new_raw_symbol,old_close,new_close,additive_delta_to_prior_history,roll_rule_status
ZNH2_2022,ZNM2_2022,2022-02-28,2022-02-14,ZNH2,ZNM2,126.03125,126.015625,-0.015625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNM2_2022,ZNU2_2022,2022-05-31,2022-05-17,ZNM2,ZNU2,118.71875,118.25,-0.46875,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNU2_2022,ZNZ2_2022,2022-08-31,2022-08-17,ZNU2,ZNZ2,118.71875,118.859375,0.140625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNZ2_2022,ZNH3_2023,2022-11-30,2022-11-16,ZNZ2,ZNH3,113.171875,113.453125,0.28125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNH3_2023,ZNM3_2023,2023-02-28,2023-02-14,ZNH3,ZNM3,112.390625,112.953125,0.5625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNM3_2023,ZNU3_2023,2023-05-31,2023-05-17,ZNM3,ZNU3,114.609375,115.453125,0.84375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNU3_2023,ZNZ3_2023,2023-08-31,2023-08-17,ZNU3,ZNZ3,109.484375,109.9375,0.453125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNZ3_2023,ZNH4_2024,2023-11-30,2023-11-16,ZNZ3,ZNH4,108.875,109.265625,0.390625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
