old_contract_key,new_contract_key,first_notice_proxy,roll_transition_date,old_raw_symbol,new_raw_symbol,old_close,new_close,additive_delta_to_prior_history,roll_rule_status
ZNH1_2011,ZNM1_2011,2011-02-28,2011-02-16,ZNH1,ZNM1,118.53125,117.078125,-1.453125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNM1_2011,ZNU1_2011,2011-05-31,2011-05-19,ZNM1,ZNU1,122.546875,121.1875,-1.359375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNU1_2011,ZNZ1_2011,2011-08-31,2011-08-19,ZNU1,ZNZ1,130.84375,129.90625,-0.9375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNZ1_2011,ZNH2_2012,2011-11-30,2011-11-18,ZNZ1,ZNH2,130.28125,129.671875,-0.609375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNH2_2012,ZNM2_2012,2012-02-29,2012-02-17,ZNH2,ZNM2,130.953125,130.6875,-0.265625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNM2_2012,ZNU2_2012,2012-05-31,2012-05-20,ZNM2,ZNU2,133.640625,132.65625,-0.984375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNU2_2012,ZNZ2_2012,2012-08-31,2012-08-20,ZNU2,ZNZ2,132.59375,131.453125,-1.140625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNZ2_2012,ZNH3_2013,2012-11-30,2012-11-19,ZNZ2,ZNH3,133.984375,133.484375,-0.5,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNH3_2013,ZNM3_2013,2013-02-28,2013-02-15,ZNH3,ZNM3,131.5,130.34375,-1.15625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNM3_2013,ZNU3_2013,2013-05-31,2013-05-19,ZNM3,ZNU3,131.796875,130.890625,-0.90625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNU3_2013,ZNZ3_2013,2013-08-30,2013-08-19,ZNU3,ZNZ3,124.71875,123.53125,-1.1875,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNZ3_2013,ZNH4_2014,2013-11-29,2013-11-18,ZNZ3,ZNH4,127.09375,125.78125,-1.3125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNH4_2014,ZNM4_2014,2014-02-28,2014-02-17,ZNH4,ZNM4,125.609375,124.0,-1.609375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNM4_2014,ZNU4_2014,2014-05-30,2014-05-19,ZNM4,ZNU4,125.703125,124.84375,-0.859375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNU4_2014,ZNZ4_2014,2014-08-31,2014-08-18,ZNU4,ZNZ4,126.296875,125.609375,-0.6875,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNZ4_2014,ZNH5_2015,2014-11-30,2014-11-18,ZNZ4,ZNH5,126.6875,126.0,-0.6875,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNH5_2015,ZNM5_2015,2015-02-27,2015-02-16,ZNH5,ZNM5,128.34375,127.65625,-0.6875,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNM5_2015,ZNU5_2015,2015-05-31,2015-05-19,ZNM5,ZNU5,126.90625,126.1875,-0.71875,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNU5_2015,ZNZ5_2015,2015-08-31,2015-08-19,ZNU5,ZNZ5,128.078125,127.46875,-0.609375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNZ5_2015,ZNH6_2016,2015-11-30,2015-11-18,ZNZ5,ZNH6,126.59375,125.984375,-0.609375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNH6_2016,ZNM6_2016,2016-02-29,2016-02-17,ZNH6,ZNM6,130.484375,130.109375,-0.375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNM6_2016,ZNU6_2016,2016-05-31,2016-05-19,ZNM6,ZNU6,129.65625,129.5,-0.15625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNU6_2016,ZNZ6_2016,2016-08-31,2016-08-19,ZNU6,ZNZ6,131.953125,130.9375,-1.015625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNZ6_2016,ZNH7_2017,2016-11-30,2016-11-18,ZNZ6,ZNH7,125.390625,124.65625,-0.734375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNH7_2017,ZNM7_2017,2017-02-28,2017-02-16,ZNH7,ZNM7,124.421875,123.859375,-0.5625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNM7_2017,ZNU7_2017,2017-05-31,2017-05-19,ZNM7,ZNU7,126.25,125.96875,-0.28125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNU7_2017,ZNZ7_2017,2017-08-31,2017-08-20,ZNU7,ZNZ7,126.609375,126.296875,-0.3125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNZ7_2017,ZNH8_2018,2017-11-30,2017-11-19,ZNZ7,ZNH8,125.015625,124.75,-0.265625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNH8_2018,ZNM8_2018,2018-02-28,2018-02-16,ZNH8,ZNM8,120.5625,120.015625,-0.546875,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNM8_2018,ZNU8_2018,2018-05-31,2018-05-20,ZNM8,ZNU8,118.71875,118.359375,-0.359375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNU8_2018,ZNZ8_2018,2018-08-31,2018-08-20,ZNU8,ZNZ8,120.640625,120.515625,-0.125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNZ8_2018,ZNH9_2019,2018-11-30,2018-11-19,ZNZ8,ZNH9,119.265625,119.078125,-0.1875,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNH9_2019,ZNM9_2019,2019-02-28,2019-02-15,ZNH9,ZNM9,122.046875,122.359375,0.3125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNM9_2019,ZNU9_2019,2019-05-31,2019-05-20,ZNM9,ZNU9,124.3125,124.578125,0.265625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNU9_2019,ZNZ9_2019,2019-08-30,2019-08-19,ZNU9,ZNZ9,130.46875,131.09375,0.625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNZ9_2019,ZNH0_2020,2019-11-29,2019-11-18,ZNZ9,ZNH0,129.296875,129.296875,0.0,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNH0_2020,ZNM0_2020,2020-02-26,2020-02-14,ZNH0,ZNM0,130.984375,130.859375,-0.125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNM0_2020,ZNU0_2020,2020-05-31,2020-05-19,ZNM0,ZNU0,139.03125,138.765625,-0.265625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZNU0_2020,ZNZ0_2020,2020-08-31,2020-08-19,ZNU0,ZNZ0,139.359375,139.234375,-0.125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
