period_label,stage,scalar_calibration_status,mean_abs_capped_forecast_nonzero_rows,cap_saturation_fraction,runtime_lag_status,min_runtime_lag_days,median_runtime_lag_days,max_runtime_lag_days,lag_zero_rows,live_net_after_fees_usd,constant_long_net_after_fees_usd,random_position_mean_net_after_fees_usd,random_position_stdev_net_after_fees_usd,live_net_z_vs_random,largest_positive_null_mode,largest_positive_null_net_after_fees_usd,largest_positive_null_z_vs_random,roll_event_count,reported_roll_transition_fee_sides_sum,expected_roll_transition_fee_sides_sum,roll_event_fee_side_failures,roll_event_status
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,FAILS_OPUS_HEURISTIC_RECORDED_NO_TUNING,2.5111951146934763,0.0014442273383739699,PASS_STRICT_PRIOR_MIN_LAG_GE_1,1,1,1,0,5342.630000000004,-6072.578589634664,-9024.523046875744,10831.587286217848,1.3264125254436687,DAY_SHUFFLED,3494.020000000003,1.1557440951248565,8,6,6,0,PASS
ZN_2024_VALIDATION,VALIDATION,FAILS_OPUS_HEURISTIC_RECORDED_NO_TUNING,3.636256459488514,0.0059131610069268455,PASS_STRICT_PRIOR_MIN_LAG_GE_1,1,1,1,0,24618.820000000003,-3701.155373436972,-11506.910156250546,9987.169186585437,3.6172141956675663,ONE_BAR_DELAYED,9151.580000000002,2.0685030733231806,4,2,2,0,PASS
