extract_status,source_database,ninjatrader_master_instrument_id,ninjatrader_master_name,ninjatrader_description,instrument_type_code,instrument_type_label,currency_code_raw,point_value,tick_size,trading_hours_template,is_server_supported,user_data_bytes,sanitized_symbol_mapping_tokens,market_data_rows_included,account_order_or_execution_fields_included,provider_api_accessed,production_mapping_status
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,150,QU,E-mini Gasoline Futures,0,FUTURE,7,21000.0,0.001,Nymex Metals - Energy ETH,0,7280,@QU ; QU|NYMEX ; NQU,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,151,R,Long Gilt Futures,0,FUTURE,1,1000.0,0.01,Liffe Gilt Futures,1,2592,R|ICL ; LFR ; R|ICEEU,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,152,RB,RBOB Gasoline Physical Futures,0,FUTURE,7,42000.0,0.0001,Nymex Metals - Energy ETH,1,6710,QRB ; XRB ; RB|NYMEX ; RBE ; -hGASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE ~ GASOLINE RBOB - NEW YORK MERCANTILE EXCHANGE,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,153,RC,Robusta Coffee Futures,0,FUTURE,1,375.0,0.05,Ipe US Agriculturals3,0,2310,@R ; RC|ICL ; ORC,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,154,RELIANCE,Reliance Industries Limited,0,FUTURE,9,250.0,0.05,Nse,0,5214,,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,155,RF,Russel 1000 Mini Index Futures,0,FUTURE,7,50.0,0.1,Ipe Europe Futures,0,1726,@RMF ; RFE,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,156,RMB,Chinese Renminbi/USD Futures,0,FUTURE,7,1000000.0,1e-05,CME FX Futures ETH,1,3370,@RE ; RMB|CME ; RMB|10000,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,67619965076736,RS1,E-mini Russell 1000,0,FUTURE,7,50.0,0.1,CME US Index Futures ETH,0,2598,@R1,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,157,RT,RBOB Gasoline Financial Futures,0,FUTURE,7,42000.0,0.0001,Nymex Metals - Energy ETH,0,7152,QRT ; RT|NYMEX,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,699839150753731,RTY,E-mini Russell 2000 Index Futures,0,FUTURE,7,50.0,0.1,CME US Index Futures ETH,1,1512,@RTY ; RTY|CME ; -fE-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE ~ RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,158,S,Euro Swiss Franc Interest Rate Futures,0,FUTURE,6,25.0,0.01,Euronext GMT Interest Rate Futures2,0,2672,S|ICL ; S|ICEEU ; LFS,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,159,SB,Sugar No. 11 Futures,0,FUTURE,7,1120.0,0.01,Ipe US Agriculturals6,1,2732,@SB ; SBE ; SUGAR NO. 11 - ICE FUTURES U.S.,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,160,SEK,Swedish Krona Futures,0,FUTURE,7,2000000.0,1e-05,CME FX Futures ETH,1,2648,@SEK ; SEK|CME ; SEK|10000,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,161,SI,Silver Futures,0,FUTURE,7,5000.0,0.005,Nymex Metals - Energy ETH,1,3480,QSI ; SI|COMEX ; SI|COMEX||5000 ; SI|CME ; SI|1000|CME ; SIE ; - SILVER - COMMODITY EXCHANGE INC.,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,699839150754383,SIC,100 Ounce Silver Futures,0,FUTURE,7,100.0,0.01,Nymex Metals - Energy ETH,1,626,QSIC ; SI-disabled|||100 ; SIC|COMEX,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,699839150753739,SIL,Micro Silver Futures,0,FUTURE,7,1000.0,0.005,Nymex Metals - Energy ETH,1,1318,QSIL ; SI-disabled|||1000 ; SIL|COMEX,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,699839150754497,SLC,Coinbase Solana Futures,0,FUTURE,7,100.0,0.01,CME US Index Futures ETH,1,834,,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,699839150754490,SLR,Coinbase Silver Futures,0,FUTURE,7,0.5,0.01,CME US Index Futures ETH,1,494,,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,699839150754475,SML,N/A,0,FUTURE,7,10.0,0.1,CME US Index Futures ETH,1,452,@MSC,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,162,SMP,S&P 600 SmallCap Futures,0,FUTURE,7,5.0,0.05,CME US Index Futures ETH,1,2644,@SMP ; SMC|CME,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,699839150754376,SOL,Coinbase nano Solana Futures,0,FUTURE,7,5.0,0.01,CME US Index Futures ETH,1,834,,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,163,SP,S&P 500 Futures,0,FUTURE,7,250.0,0.1,CME US Index Futures ETH,1,2778,@SP ; SPX|CBOE ; SP|100 ; SPE ; -1S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,164,SPI,ASX SPI 200 Index Futures,0,FUTURE,0,25.0,1.0,ASX Index Futures,0,2612,AP|SFE,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,699839150754479,SPK,SPIKES Volatility Index Future,0,FUTURE,7,1000.0,0.01,CME US Index Futures ETH,1,984,@SPK ; SPK|CME,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,699839150754481,SR1,One-Month SOFR Futures,0,FUTURE,7,4167.0,0.0025,CME US Index Futures ETH,1,1842,@SR1 ; SR1|CME,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,699839150754482,SR3,Three-Month SOFR Futures,0,FUTURE,7,2500.0,0.0025,CME US Index Futures ETH,1,802,@SR3 ; SR3|CME,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,166,SW,Hard Red Spring Wheat Futures,0,FUTURE,7,50.0,0.25,CBOT Agriculturals RTH,0,3132,@MW,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,167,SXF,S&P/TSX 60 Index Standard Futures,0,FUTURE,2,200.0,0.1,Montreal Index Futures,0,2608,TSE60|TSE,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,181,T,WTI Crude Futures,0,FUTURE,7,1000.0,0.01,Ipe Europe Futures,1,7676,"WTIC ; ET ; WTI ; -/CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
STATIC_INSTRUMENT_DEFINITION_ONLY,C:\Users\openclaw\Documents\NinjaTrader 8\db\NinjaTrader.sqlite,699839150754388,TBF3,U.S. T-Bill Futures,0,FUTURE,7,2500.0,0.005,CBOT Interest Rate ETH,1,638,@TBF3,NO,NO,NO,EVIDENCE_ONLY_NOT_APPENDIX_C_MAPPING
