old_contract_key,new_contract_key,first_notice_proxy,roll_transition_date,old_raw_symbol,new_raw_symbol,old_close,new_close,additive_delta_to_prior_history,roll_rule_status
ZTM1_2021,ZTU1_2021,2021-05-31,2021-05-19,ZTM1,ZTU1,110.39453125,110.3046875,-0.08984375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTU1_2021,ZTZ1_2021,2021-08-31,2021-08-19,ZTU1,ZTZ1,110.26171875,110.08984375,-0.171875,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTZ1_2021,ZTH2_2022,2021-11-30,2021-11-18,ZTZ1,ZTH2,109.64453125,109.30859375,-0.3359375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTH2_2022,ZTM2_2022,2022-02-28,2022-02-16,ZTH2,ZTM2,107.6875,107.3359375,-0.3515625,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTM2_2022,ZTU2_2022,2022-05-31,2022-05-19,ZTM2,ZTU2,105.6875,105.3203125,-0.3671875,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTU2_2022,ZTZ2_2022,2022-08-31,2022-08-19,ZTU2,ZTZ2,104.6484375,104.5234375,-0.125,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTZ2_2022,ZTH3_2023,2022-11-30,2022-11-18,ZTZ2,ZTH3,102.11328125,102.38671875,0.2734375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTH3_2023,ZTM3_2023,2023-02-28,2023-02-16,ZTH3,ZTM3,101.953125,102.2265625,0.2734375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTM3_2023,ZTU3_2023,2023-05-31,2023-05-19,ZTM3,ZTU3,102.63671875,103.2578125,0.62109375,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTU3_2023,ZTZ3_2023,2023-08-31,2023-08-20,ZTU3,ZTZ3,101.37109375,101.79296875,0.421875,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ZTZ3_2023,ZTH4_2024,2023-11-30,2023-11-19,ZTZ3,ZTH4,101.51171875,101.93359375,0.421875,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
