status_key,status_value,status_scope
execution_status,PASS_ZN_LOCAL_CONTINUOUS_DAILY_LINEAGE_DEV_RECON_ONLY,ZN_S27_EWMAC16_DEPENDENCY
source_rows_available,278,ZN_S27_EWMAC16_DEPENDENCY
continuous_rows_emitted,175,ZN_S27_EWMAC16_DEPENDENCY
roll_transition_date,2026-02-16,ZN_S27_EWMAC16_DEPENDENCY
daily_price_field,DATABENTO_OHLCV_1D_CLOSE,ZN_S27_EWMAC16_DEPENDENCY
daily_price_semantics,TRADE_BAR_CLOSE_NOT_OFFICIAL_SETTLEMENT,ZN_S27_EWMAC16_DEPENDENCY
provider_timestamp_policy,UTC_MIDNIGHT_PROVIDER_DAILY_BAR_TIMESTAMP_NOT_EXCHANGE_SESSION_END,ZN_S27_EWMAC16_DEPENDENCY
completed_trading_date_policy,CARRIED_FROM_SOURCE_QUARANTINE_COMPLETED_TRADING_DATE_INCLUDING_SUNDAY_GLOBEX_SESSIONS,ZN_S27_EWMAC16_DEPENDENCY
settlement_policy,BLOCKED_PENDING_OFFICIAL_SETTLEMENT_SOURCE_GATE,ZN_S27_EWMAC16_DEPENDENCY
strategy_input_created,NO_DEV_RECON_LINEAGE_ONLY,ZN_S27_EWMAC16_DEPENDENCY
trend_computed,NO,ZN_S27_EWMAC16_DEPENDENCY
s27_computed,NO,ZN_S27_EWMAC16_DEPENDENCY
diagnostics_run,NO,ZN_S27_EWMAC16_DEPENDENCY
backtests_run,NO,ZN_S27_EWMAC16_DEPENDENCY
