dataset,schema,stype_in,raw_symbols,request_start,request_end_exclusive,record_count,estimated_cost_usd,metadata_status
GLBX.MDP3,mbp-1,raw_symbol,MESM9 MESU9 MESZ9 MESH0 MESM0,2019-05-05,2020-04-06,532148195,71.366634294391,METADATA_ESTIMATE_RETURNED_NO_RAW_QUOTE_DOWNLOAD
GLBX.MDP3,tbbo,raw_symbol,MESM9 MESU9 MESZ9 MESH0 MESM0,2019-05-05,2020-04-06,31456575,65.62352925539,METADATA_ESTIMATE_RETURNED_NO_RAW_QUOTE_DOWNLOAD
