root,row_id,book_label,raw_symbol,completed_trading_date,derived_completed_bar_end_utc,continuous_close,equilibrium_ewma5,raw_forecast_equilibrium_minus_price,sigma_percent_i_t,sigma_price_i_t,risk_adjusted_forecast,forecast_scalar,scaled_forecast,capped_forecast,source_daily_runtime_completed_trading_date,forecast_status
ZN,APPENDIX_C_172_004,10-year US,ZNH2,2022-01-03,2022-01-03T05:00:00Z,132.453125,132.4828317901235,0.029706790123498195,0.02828492912901492,0.23415170334634716,0.1268698442033419,9.3,1.1798895510910798,1.1798895510910798,2020-12-21,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZN,APPENDIX_C_172_004,10-year US,ZNH2,2022-01-03,2022-01-03T06:00:00Z,132.4375,132.46772119341568,0.03022119341568441,0.02828492912901492,0.2341240813452446,0.1290819519377828,9.3,1.2004621530213802,1.2004621530213802,2020-12-21,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZN,APPENDIX_C_172_004,10-year US,ZNH2,2022-01-03,2022-01-03T07:00:00Z,132.4375,132.45764746227712,0.02014746227712294,0.02828492912901492,0.2341240813452446,0.08605463462518853,9.3,0.8003081020142534,0.8003081020142534,2020-12-21,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZN,APPENDIX_C_172_004,10-year US,ZNH2,2022-01-03,2022-01-03T08:00:00Z,132.40625,132.44051497485142,0.03426497485142477,0.02828492912901492,0.2340688373430395,0.14638845239021608,9.3,1.3614126072290096,1.3614126072290096,2020-12-21,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZN,APPENDIX_C_172_004,10-year US,ZNH2,2022-01-03,2022-01-03T09:00:00Z,132.328125,132.40305164990096,0.07492664990095932,0.02828492912901492,0.23393072733752673,0.3202941774846511,9.3,2.9787358506072557,2.9787358506072557,2020-12-21,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZN,APPENDIX_C_172_004,10-year US,ZNH2,2022-01-03,2022-01-03T10:00:00Z,132.40625,132.40411776660065,-0.00213223339935098,0.02828492912901492,0.2340688373430395,-0.009109428762727976,9.3,-0.08471768749337018,-0.08471768749337018,2020-12-21,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZN,APPENDIX_C_172_004,10-year US,ZNH2,2022-01-03,2022-01-03T11:00:00Z,132.375,132.39441184440045,0.019411844400451628,0.02828492912901492,0.23401359334083438,0.08295178123340385,9.3,0.7714515654706559,0.7714515654706559,2020-12-21,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZN,APPENDIX_C_172_004,10-year US,ZNH2,2022-01-03,2022-01-03T12:00:00Z,132.359375,132.382732896267,0.0233578962669867,0.02828492912901492,0.23398597133973184,0.09982605424268197,9.3,0.9283823044569424,0.9283823044569424,2020-12-21,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZN,APPENDIX_C_172_004,10-year US,ZNH2,2022-01-03,2022-01-03T13:00:00Z,132.359375,132.37494693084466,0.0155719308446578,0.02828492912901492,0.23398597133973184,0.06655070282845464,9.3,0.6189215363046282,0.6189215363046282,2020-12-21,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZN,APPENDIX_C_172_004,10-year US,ZNH2,2022-01-03,2022-01-03T14:00:00Z,131.953125,132.2343396205631,0.2812146205631052,0.02828492912901492,0.23326779931106542,1.205544105931664,9.3,11.211560185164476,11.211560185164476,2020-12-21,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZN,APPENDIX_C_172_004,10-year US,ZNH2,2022-01-03,2022-01-03T15:00:00Z,131.796875,132.08851808037542,0.2916430803754224,0.02828492912901492,0.23299157930003989,1.2517322782719662,9.3,11.641110187929286,11.641110187929286,2020-12-21,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZN,APPENDIX_C_172_004,10-year US,ZNH2,2022-01-03,2022-01-03T16:00:00Z,131.828125,132.00172038691696,0.17359538691695775,0.02828492912901492,0.233046823302245,0.7448948861740844,9.3,6.9275224414189855,6.9275224414189855,2020-12-21,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZN,APPENDIX_C_172_004,10-year US,ZNH2,2022-01-03,2022-01-03T17:00:00Z,131.71875,131.9073969246113,0.18864692461130517,0.02828492912901492,0.23285346929452713,0.8101529480443048,9.3,7.534422416812036,7.534422416812036,2020-12-21,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZN,APPENDIX_C_172_004,10-year US,ZNH2,2022-01-03,2022-01-03T18:00:00Z,131.6875,131.83409794974088,0.14659794974087959,0.02828492912901492,0.23279822529232203,0.6297210795176735,9.3,5.856406039514364,5.856406039514364,2020-12-21,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZN,APPENDIX_C_172_004,10-year US,ZNH2,2022-01-03,2022-01-03T19:00:00Z,131.625,131.7643986331606,0.13939863316059586,0.02828492912901492,0.2326877372879118,0.599080272924368,9.3,5.571446538196623,5.571446538196623,2020-12-21,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZN,APPENDIX_C_172_004,10-year US,ZNH2,2022-01-03,2022-01-03T20:00:00Z,131.59375,131.7075157554404,0.11376575544039724,0.02828492912901492,0.2326324932857067,0.4890363931262013,9.3,4.548038456073672,4.548038456073672,2020-12-21,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZN,APPENDIX_C_172_004,10-year US,ZNH2,2022-01-03,2022-01-03T21:00:00Z,131.59375,131.66959383696027,0.0758438369602743,0.02828492912901492,0.2326324932857067,0.3260242620841749,9.3,3.032025637382827,3.032025637382827,2020-12-21,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZN,APPENDIX_C_172_004,10-year US,ZNH2,2022-01-03,2022-01-03T22:00:00Z,131.65625,131.66514589130685,0.008895891306849535,0.02828492912901492,0.23274298129011692,0.03822195306401399,9.3,0.35546416349533017,0.35546416349533017,2020-12-21,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZN,APPENDIX_C_172_004,10-year US,ZNH2,2022-01-04,2022-01-04T00:00:00Z,131.765625,131.6986389275379,-0.06698607246210031,0.02828492912901492,0.23293633529783478,-0.2875724492550775,9.3,-2.6744237780722213,-2.6744237780722213,2020-12-21,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZN,APPENDIX_C_172_004,10-year US,ZNH2,2022-01-04,2022-01-04T01:00:00Z,131.734375,131.71055095169194,-0.0238240483080574,0.02828492912901492,0.23288109129562967,-0.10230134261013955,9.3,-0.9514024862742979,-0.9514024862742979,2020-12-21,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
