completed_trading_date,scenario_name,total_cost_per_trade_currency,daily_price_risk_currency,annualized_price_risk_currency,risk_adjusted_cost_per_trade_sr,cost_basis,source_label,source_sha256,status
2020-03-02,CONSERVATIVE_LIVE_FUTURES_PASS_THROUGH,2.93,57.18365213859373,4574.6921710874985,0.000640,LOCKED_TOTAL_COST_PER_TRADE_OVER_LOCKED_ANNUALIZED_USD_PRICE_RISK_FROM_DAILY_X16_X_MES_MULTIPLIER,LOCKED_S09_MES_DUAL_COST_SCENARIO_POLICY_LEDGER,0CE604318C905C8A514DD846A416023E773302C83614778C0D16F0E41729DF4B,LOCKED_SOURCE_NATIVE_DUAL_RISK_ADJUSTED_COST_VALUE_NOT_SPEED_NOT_BACKTEST
2020-03-02,ETF_SIM_FEE_ALL_IN_EXCHANGE_NFA_EXCLUDED,2.49,57.18365213859373,4574.6921710874985,0.000544,LOCKED_TOTAL_COST_PER_TRADE_OVER_LOCKED_ANNUALIZED_USD_PRICE_RISK_FROM_DAILY_X16_X_MES_MULTIPLIER,LOCKED_S09_MES_DUAL_COST_SCENARIO_POLICY_LEDGER,0CE604318C905C8A514DD846A416023E773302C83614778C0D16F0E41729DF4B,LOCKED_SOURCE_NATIVE_DUAL_RISK_ADJUSTED_COST_VALUE_NOT_SPEED_NOT_BACKTEST
