gate,lane,window_label,evidence_class,group_kind,group_value,rows,active_rows,long_rows,short_rows,flat_rows,gross_pnl_usd,estimated_fee_usd,net_pnl_usd,status
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,SIDE,FLAT,9233,0,0,0,9233,0.0,1748.58,-1748.58,DEV_RECON_ATTRIBUTION_NOT_PASS_FAIL
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,SIDE,LONG,572,572,572,0,0,-4531.25,536.05,-5067.3,DEV_RECON_ATTRIBUTION_NOT_PASS_FAIL
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,SIDE,SHORT,1965,1965,0,1965,0,14875.0,2716.49,12158.51,DEV_RECON_ATTRIBUTION_NOT_PASS_FAIL
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,SIDE,FLAT,3877,0,0,0,3877,0.0,1540.2,-1540.2,DEV_RECON_ATTRIBUTION_NOT_PASS_FAIL
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,SIDE,LONG,916,916,916,0,0,7484.375,1766.7,5717.675,DEV_RECON_ATTRIBUTION_NOT_PASS_FAIL
S27_ZN_PRE_LOCKBOX_ROBUSTNESS_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,SIDE,SHORT,1125,1125,0,1125,0,22484.375,2043.03,20441.345,DEV_RECON_ATTRIBUTION_NOT_PASS_FAIL
