root,row_id,book_label,raw_symbol,completed_trading_date,derived_completed_bar_end_utc,continuous_close,s26_raw_forecast,s27_trend_forecast_proxy_fast_minus_slow,s27_opposes_trend,source_vqm_completed_trading_date,relative_volatility_v,quantile_q,vol_multiplier_m_ewma10,adjusted_raw_forecast,sigma_price_i_t,risk_adjusted_forecast,forecast_scalar,scaled_forecast,capped_forecast,forecast_status
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T05:00:00Z,110.3984375,0.0055941358024824694,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.010813555923945166,0.014254034250786396,0.758631257206961,20.0,15.17262514413922,15.17262514413922,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T06:00:00Z,110.3984375,0.0037294238683216463,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.007209037282630111,0.014254034250786396,0.5057541714713074,20.0,10.115083429426148,10.115083429426148,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T07:00:00Z,110.3984375,0.0024862825789000453,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.004806024855123367,0.014254034250786396,0.3371694476501078,20.0,6.743388953002157,6.743388953002157,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T08:00:00Z,110.38671875,0.009470021719266697,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.01830570673969381,0.014252521190749866,1.284383758823985,20.0,25.6876751764797,20.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T09:00:00Z,110.37109375,0.016730014479520605,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.03233939138596294,0.01425050377736783,2.26935074655559,20.0,45.3870149311118,20.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T10:00:00Z,110.375,0.008549176319689877,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.016525697534123085,0.014251008130713338,1.1596160343567137,20.0,23.192320687134274,20.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T11:00:00Z,110.3671875,0.010907784213131322,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.021084925135832256,0.01424999942402232,1.4796439289876584,20.0,29.59287857975317,20.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T12:00:00Z,110.3671875,0.007271856142097022,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.014056616757239817,0.01424999942402232,0.9864292859930575,20.0,19.72858571986115,19.72858571986115,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T13:00:00Z,110.3671875,0.004847904094745559,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.009371077838187348,0.01424999942402232,0.6576195239972994,20.0,13.152390479945987,13.152390479945987,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T14:00:00Z,110.31640625,0.03708610272983037,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.07168804262710834,0.014243442830530698,5.0330558054016015,20.0,100.66111610803203,20.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T15:00:00Z,110.30078125,0.03514073515322025,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.06792761531088766,0.01424142541714866,4.7697202577133435,20.0,95.39440515426688,20.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T16:00:00Z,110.3359375,-1.0343231181764168e-05,0.02757329775570838,YES,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.0,0.014245964597258244,0.0,20.0,0.0,0.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T17:00:00Z,110.3359375,-6.895487445035542e-06,0.02757329775570838,YES,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.0,0.014245964597258244,0.0,20.0,0.0,0.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T18:00:00Z,110.34375,-0.00521293032495862,0.02757329775570838,YES,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.0,0.014246973303949263,0.0,20.0,0.0,0.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T19:00:00Z,110.34765625,-0.006079453549972413,0.02757329775570838,YES,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.0,0.014247477657294772,0.0,20.0,0.0,0.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T20:00:00Z,110.32421875,0.011572030966689795,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.022368924965388785,0.014244451537221717,1.5703605650900119,20.0,31.40721130180024,20.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T21:00:00Z,110.32421875,0.007714687311136004,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.014912616643610837,0.014244451537221717,1.046907043394627,20.0,20.938140867892542,20.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T22:00:00Z,110.36328125,-0.020898541792575998,0.02757329775570838,YES,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.0,0.01424949507067681,0.0,20.0,0.0,0.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T00:00:00Z,110.37109375,-0.019140694528374524,0.02757329775570838,YES,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.0,0.01425050377736783,0.0,20.0,0.0,0.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T01:00:00Z,110.36328125,-0.0075521296855640685,0.02757329775570838,YES,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.0,0.01424949507067681,0.0,20.0,0.0,0.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T02:00:00Z,110.34765625,0.005381913542962025,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.010403326828217466,0.014247477657294772,0.7301872709300875,20.0,14.60374541860175,14.60374541860175,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T03:00:00Z,110.34765625,0.003587942361974683,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.006935551218811644,0.014247477657294772,0.48679151395339165,20.0,9.735830279067834,9.735830279067834,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T04:00:00Z,110.33984375,0.00760029490800207,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.014691494258985433,0.014246468950603754,1.0312375866556618,20.0,20.624751733113236,20.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T05:00:00Z,110.33984375,0.005066863272020328,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.009794329506026916,0.014246468950603754,0.6874917244396788,20.0,13.749834488793574,13.749834488793574,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T06:00:00Z,110.34765625,-0.0018304244853197815,0.02757329775570838,YES,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.0,0.014247477657294772,0.0,20.0,0.0,0.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T07:00:00Z,110.34375,0.0013838836764676898,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.002675069761638147,0.014246973303949263,0.18776407483662635,20.0,3.755281496732527,3.755281496732527,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T08:00:00Z,110.35546875,-0.0068899108823501365,0.02757329775570838,YES,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.0,0.014248486363985792,0.0,20.0,0.0,0.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T09:00:00Z,110.34375,0.0032192260784427162,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.006222816617289672,0.014246973303949263,0.4367816577268876,20.0,8.735633154537751,8.735633154537751,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T10:00:00Z,110.3515625,-0.0030621826143715225,0.02757329775570838,YES,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.0,0.014247982010640283,0.0,20.0,0.0,0.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T11:00:00Z,110.34765625,0.000562711590418985,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.00108773069994968,0.014247477657294772,0.07634549259270164,20.0,1.5269098518540327,1.5269098518540327,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T12:00:00Z,110.328125,0.013395974393631604,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.025894637416022354,0.014244955890567226,1.817810993235111,20.0,36.35621986470222,20.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T13:00:00Z,110.3203125,0.01413898292909721,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.027330885057107592,0.014243947183876208,1.9187718617803828,20.0,38.375437235607656,20.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T14:00:00Z,110.33203125,0.001613488619412351,0.02757329775570838,NO,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.0031188998684876334,0.014245460243912735,0.21893991595114512,20.0,4.378798319022902,4.378798319022902,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T15:00:00Z,110.34375,-0.006736840920382292,0.02757329775570838,YES,2020-12-30,0.2783110924424357,0.031988873435326845,1.9330163417102804,0.0,0.014246973303949263,0.0,20.0,0.0,0.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
