root,row_id,book_label,raw_symbol,completed_trading_date,derived_completed_bar_end_utc,continuous_close,equilibrium_ewma5,raw_forecast_equilibrium_minus_price,sigma_percent_i_t,sigma_price_i_t,risk_adjusted_forecast,forecast_scalar,scaled_forecast,capped_forecast,source_daily_runtime_completed_trading_date,forecast_status
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T05:00:00Z,110.3984375,110.40403163580248,0.0055941358024824694,0.0020658313032064636,0.014254034250786396,0.3924598260435526,9.3,3.6498763822050395,3.6498763822050395,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T06:00:00Z,110.3984375,110.40216692386832,0.0037294238683216463,0.0020658313032064636,0.014254034250786396,0.26163988402903504,9.3,2.433250921470026,2.433250921470026,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T07:00:00Z,110.3984375,110.4009237825789,0.0024862825789000453,0.0020658313032064636,0.014254034250786396,0.17442658935401933,9.3,1.62216728099238,1.62216728099238,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T08:00:00Z,110.38671875,110.39618877171927,0.009470021719266697,0.0020658313032064636,0.014252521190749866,0.6644453702277535,9.3,6.179341943118108,6.179341943118108,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T09:00:00Z,110.37109375,110.38782376447952,0.016730014479520605,0.0020658313032064636,0.01425050377736783,1.1739945998323689,9.3,10.918149778441032,10.918149778441032,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T10:00:00Z,110.375,110.38354917631969,0.008549176319689877,0.0020658313032064636,0.014251008130713338,0.5998997573557587,9.3,5.579067743408556,5.579067743408556,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T11:00:00Z,110.3671875,110.37809528421313,0.010907784213131322,0.0020658313032064636,0.01424999942402232,0.7654585722118158,9.3,7.118764721569887,7.118764721569887,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T12:00:00Z,110.3671875,110.3744593561421,0.007271856142097022,0.0020658313032064636,0.01424999942402232,0.510305714808542,9.3,4.745843147719441,4.745843147719441,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T13:00:00Z,110.3671875,110.37203540409475,0.004847904094745559,0.0020658313032064636,0.01424999942402232,0.3402038098733586,9.3,3.163895431822235,3.163895431822235,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T14:00:00Z,110.31640625,110.35349235272983,0.03708610272983037,0.0020658313032064636,0.014243442830530698,2.603731637854903,9.3,24.2147042320506,20.0,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T15:00:00Z,110.30078125,110.33592198515322,0.03514073515322025,0.0020658313032064636,0.01424142541714866,2.4675012594529977,9.3,22.94776171291288,20.0,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T16:00:00Z,110.3359375,110.33592715676882,-1.0343231181764168e-05,0.0020658313032064636,0.014245964597258244,-0.0007260463909726976,9.3,-0.006752231436046088,-0.006752231436046088,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T17:00:00Z,110.3359375,110.33593060451255,-6.895487445035542e-06,0.0020658313032064636,0.014245964597258244,-0.0004840309266501081,9.3,-0.0045014876178460055,-0.0045014876178460055,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T18:00:00Z,110.34375,110.33853706967504,-0.00521293032495862,0.0020658313032064636,0.014246973303949263,-0.36589738843081815,9.3,-3.402845712406609,-3.402845712406609,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T19:00:00Z,110.34765625,110.34157679645003,-0.006079453549972413,0.0020658313032064636,0.014247477657294772,-0.42670384865349875,9.3,-3.9683457924775385,-3.9683457924775385,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T20:00:00Z,110.32421875,110.33579078096669,0.011572030966689795,0.0020658313032064636,0.014244451537221717,0.8123886649093714,9.3,7.555214583657155,7.555214583657155,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T21:00:00Z,110.32421875,110.33193343731114,0.007714687311136004,0.0020658313032064636,0.014244451537221717,0.5415924432735794,9.3,5.036809722444288,5.036809722444288,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-03,2022-01-03T22:00:00Z,110.36328125,110.34238270820742,-0.020898541792575998,0.0020658313032064636,0.01424949507067681,-1.4666163038704343,9.3,-13.63953162599504,-13.63953162599504,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T00:00:00Z,110.37109375,110.35195305547163,-0.019140694528374524,0.0020658313032064636,0.01425050377736783,-1.3431591491364068,9.3,-12.491380086968585,-12.491380086968585,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T01:00:00Z,110.36328125,110.35572912031444,-0.0075521296855640685,0.0020658313032064636,0.01424949507067681,-0.5299927925941142,9.3,-4.9289329711252625,-4.9289329711252625,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T02:00:00Z,110.34765625,110.35303816354296,0.005381913542962025,0.0020658313032064636,0.014247477657294772,0.3777450066894094,9.3,3.513028562211508,3.513028562211508,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T03:00:00Z,110.34765625,110.35124419236197,0.003587942361974683,0.0020658313032064636,0.014247477657294772,0.25183000445960624,9.3,2.3420190414743383,2.3420190414743383,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T04:00:00Z,110.33984375,110.347444044908,0.00760029490800207,0.0020658313032064636,0.014246468950603754,0.5334862227513559,9.3,4.961421871587611,4.961421871587611,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T05:00:00Z,110.33984375,110.34491061327202,0.005066863272020328,0.0020658313032064636,0.014246468950603754,0.3556574818355673,9.3,3.307614581070776,3.307614581070776,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T06:00:00Z,110.34765625,110.34582582551468,-0.0018304244853197815,0.0020658313032064636,0.014247477657294772,-0.12847358173484105,9.3,-1.1948043101340218,-1.1948043101340218,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T07:00:00Z,110.34375,110.34513388367647,0.0013838836764676898,0.0020658313032064636,0.014246973303949263,0.09713527546823417,9.3,0.9033580618545778,0.9033580618545778,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T08:00:00Z,110.35546875,110.34857883911765,-0.0068899108823501365,0.0020658313032064636,0.014248486363985792,-0.48355388118733417,9.3,-4.497051095042208,-4.497051095042208,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T09:00:00Z,110.34375,110.34696922607844,0.0032192260784427162,0.0020658313032064636,0.014246973303949263,0.22595859553905012,9.3,2.1014149385131664,2.1014149385131664,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T10:00:00Z,110.3515625,110.34850031738563,-0.0030621826143715225,0.0020658313032064636,0.014247982010640283,-0.214920443616837,9.3,-1.9987601256365841,-1.9987601256365841,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T11:00:00Z,110.34765625,110.34821896159042,0.000562711590418985,0.0020658313032064636,0.014247477657294772,0.0394955236256064,9.3,0.3673083697181395,0.3673083697181395,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T12:00:00Z,110.328125,110.34152097439363,0.013395974393631604,0.0020658313032064636,0.014244955890567226,0.9404012547699215,9.3,8.745731669360271,8.745731669360271,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T13:00:00Z,110.3203125,110.3344514829291,0.01413898292909721,0.0020658313032064636,0.014243947183876208,0.9926309573165355,9.3,9.23146790304378,9.23146790304378,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T14:00:00Z,110.33203125,110.33364473861941,0.001613488619412351,0.0020658313032064636,0.014245460243912735,0.11326335490647381,9.3,1.0533492006302065,1.0533492006302065,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T15:00:00Z,110.34375,110.33701315907962,-0.006736840920382292,0.0020658313032064636,0.014246973303949263,-0.47286120193085773,9.3,-4.397609177956977,-4.397609177956977,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T16:00:00Z,110.37890625,110.35097752271976,-0.02792872728024065,0.0020658313032064636,0.014251512484058848,-1.959702684994352,9.3,-18.225234970447474,-18.225234970447474,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T17:00:00Z,110.375,110.35898501514652,-0.016014984853484293,0.0020658313032064636,0.014251008130713338,-1.1237790833175714,9.3,-10.451145474853414,-10.451145474853414,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T18:00:00Z,110.37890625,110.36562542676435,-0.013280823235646722,0.0020658313032064636,0.014251512484058848,-0.9318886855344021,9.3,-8.66656477546994,-8.66656477546994,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T19:00:00Z,110.3828125,110.37135445117624,-0.011458048823755007,0.0020658313032064636,0.014252016837404357,-0.8039598152651214,9.3,-7.4768262819656295,-7.4768262819656295,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T20:00:00Z,110.37109375,110.37126755078417,0.00017380078416806555,0.0020658313032064636,0.01425050377736783,0.012196115090618067,9.3,0.11342387034274803,0.11342387034274803,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T21:00:00Z,110.40234375,110.38162628385612,-0.020717466143878482,0.0020658313032064636,0.014254538604131905,-1.4533943692764069,9.3,-13.516567634270585,-13.516567634270585,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-04,2022-01-04T22:00:00Z,110.37890625,110.38071960590409,0.0018133559040904856,0.0020658313032064636,0.014251512484058848,0.12723954079392139,9.3,1.183327729383469,1.183327729383469,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-05,2022-01-05T00:00:00Z,110.38671875,110.38271932060275,-0.003999429397254062,0.0020658313032064636,0.014252521190749866,-0.28061206461140087,9.3,-2.609692200886028,-2.609692200886028,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
ZT,APPENDIX_C_172_001,2-year US,ZTH2,2022-01-05,2022-01-05T01:00:00Z,110.37109375,110.37884413040183,0.0077503804018306255,0.0020658313032064636,0.01425050377736783,0.5438671167639364,9.3,5.057964185904609,5.057964185904609,2020-12-30,PASS_S26_FORECAST_RUNTIME_DEV_RECON_ONLY
