old_contract_key,new_contract_key,gap_status
MESH9_2019,MESM9_2019,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
MESM9_2019,MESU9_2019,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
MESU9_2019,MESZ9_2019,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
MESZ9_2019,MESH0_2020,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
MESH0_2020,MESM0_2020,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
MESM0_2020,MESU0_2020,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
MESU0_2020,MESZ0_2020,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
MESZ1_2021,MESH2_2022,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
MESH2_2022,MESM2_2022,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
MESM2_2022,MESU2_2022,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
MESU2_2022,MESZ2_2022,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
MESZ2_2022,MESH3_2023,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
MESH3_2023,MESM3_2023,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
MESM3_2023,MESU3_2023,ROLL_OVERLAP_NOT_FOUND_OR_NOT_NEEDED_FOR_AVAILABLE_WINDOW
