ts_recv,ts_event,rtype,publisher_id,instrument_id,raw_symbol,security_update_action,instrument_class,min_price_increment,display_factor,expiration,activation,high_limit_price,low_limit_price,max_price_variation,trading_reference_price,unit_of_measure_qty,min_price_increment_amount,price_ratio,inst_attrib_value,underlying_id,raw_instrument_id,market_depth_implied,market_depth,market_segment_id,max_trade_vol,min_lot_size,min_lot_size_block,min_lot_size_round_lot,min_trade_vol,contract_multiplier,decay_quantity,original_contract_size,trading_reference_date,appl_id,maturity_year,decay_start_date,channel_id,currency,settl_currency,secsubtype,group,exchange,asset,cfi,security_type,unit_of_measure,underlying,strike_price_currency,strike_price,match_algorithm,md_security_trading_status,main_fraction,price_display_format,settl_price_type,sub_fraction,underlying_product,maturity_month,maturity_day,maturity_week,user_defined_instrument,contract_multiplier_unit,flow_schedule_type,tick_rule,symbol
2023-03-08 23:34:12.982348510+00:00,2023-03-08 23:34:12.975018993+00:00,19,1,12212,ZNZ3,A,F,0.015625,1.0,2023-12-19 18:01:00+00:00,2023-03-22 21:30:00+00:00,,0.015625,0.5,0.0,100000.0,0.001,,272463,0,12212,0,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,19424,344,2023,65535,19,USD,,,ZN,XCBT,ZN,FFDXSX,FUT,USD,,,,F,255,32,3,1,2,14,12,255,255,N,127,127,255,ZNZ3
2023-03-09 00:00:00+00:00,2023-03-08 23:34:12.975018993+00:00,19,1,12212,ZNZ3,A,F,0.015625,1.0,2023-12-19 18:01:00+00:00,2023-03-22 21:30:00+00:00,,0.015625,0.5,0.0,100000.0,0.001,,272463,0,12212,0,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,19424,344,2023,65535,19,USD,,,ZN,XCBT,ZN,FFDXSX,FUT,USD,,,,F,255,32,3,1,2,14,12,255,255,N,127,127,255,ZNZ3
2023-03-10 00:00:00+00:00,2023-03-08 23:34:12.975018993+00:00,19,1,12212,ZNZ3,A,F,0.015625,1.0,2023-12-19 18:01:00+00:00,2023-03-22 21:30:00+00:00,,0.015625,0.5,0.0,100000.0,0.001,,272463,0,12212,0,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,19424,344,2023,65535,19,USD,,,ZN,XCBT,ZN,FFDXSX,FUT,USD,,,,F,255,32,3,1,2,14,12,255,255,N,127,127,255,ZNZ3
2023-03-12 16:04:38.276543828+00:00,2023-03-12 16:04:38.158000+00:00,19,1,12212,ZNZ3,A,F,0.015625,1.0,2023-12-19 18:01:00+00:00,2023-03-22 21:30:00+00:00,,0.015625,0.5,0.0,100000.0,0.001,,796751,0,12212,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,19426,344,2023,65535,19,USD,,,ZN,XCBT,ZN,FFDXSX,FUT,USD,,,,F,255,32,3,1,2,14,12,255,255,N,127,127,255,ZNZ3
2023-03-13 00:00:00+00:00,2023-03-12 16:04:38.158000+00:00,19,1,12212,ZNZ3,A,F,0.015625,1.0,2023-12-19 18:01:00+00:00,2023-03-22 21:30:00+00:00,,0.015625,0.5,0.0,100000.0,0.001,,796751,0,12212,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,19426,344,2023,65535,19,USD,,,ZN,XCBT,ZN,FFDXSX,FUT,USD,,,,F,255,32,3,1,2,14,12,255,255,N,127,127,255,ZNZ3
2023-03-14 00:00:00+00:00,2023-03-12 16:04:38.158000+00:00,19,1,12212,ZNZ3,A,F,0.015625,1.0,2023-12-19 18:01:00+00:00,2023-03-22 21:30:00+00:00,,0.015625,0.5,0.0,100000.0,0.001,,796751,0,12212,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,19426,344,2023,65535,19,USD,,,ZN,XCBT,ZN,FFDXSX,FUT,USD,,,,F,255,32,3,1,2,14,12,255,255,N,127,127,255,ZNZ3
2023-03-15 00:00:00+00:00,2023-03-12 16:04:38.158000+00:00,19,1,12212,ZNZ3,A,F,0.015625,1.0,2023-12-19 18:01:00+00:00,2023-03-22 21:30:00+00:00,,0.015625,0.5,0.0,100000.0,0.001,,796751,0,12212,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,19426,344,2023,65535,19,USD,,,ZN,XCBT,ZN,FFDXSX,FUT,USD,,,,F,255,32,3,1,2,14,12,255,255,N,127,127,255,ZNZ3
2023-03-16 00:00:00+00:00,2023-03-12 16:04:38.158000+00:00,19,1,12212,ZNZ3,A,F,0.015625,1.0,2023-12-19 18:01:00+00:00,2023-03-22 21:30:00+00:00,,0.015625,0.5,0.0,100000.0,0.001,,796751,0,12212,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,19426,344,2023,65535,19,USD,,,ZN,XCBT,ZN,FFDXSX,FUT,USD,,,,F,255,32,3,1,2,14,12,255,255,N,127,127,255,ZNZ3
2023-03-17 00:00:00+00:00,2023-03-12 16:04:38.158000+00:00,19,1,12212,ZNZ3,A,F,0.015625,1.0,2023-12-19 18:01:00+00:00,2023-03-22 21:30:00+00:00,,0.015625,0.5,0.0,100000.0,0.001,,796751,0,12212,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,19426,344,2023,65535,19,USD,,,ZN,XCBT,ZN,FFDXSX,FUT,USD,,,,F,255,32,3,1,2,14,12,255,255,N,127,127,255,ZNZ3
2023-03-19 16:04:37.782525587+00:00,2023-03-19 16:04:37.668000+00:00,19,1,12212,ZNZ3,A,F,0.015625,1.0,2023-12-19 18:01:00+00:00,2023-03-22 21:30:00+00:00,,0.015625,0.5,0.0,100000.0,0.001,,796751,0,12212,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,19433,344,2023,65535,19,USD,,,ZN,XCBT,ZN,FFDXSX,FUT,USD,,,,F,255,32,3,1,2,14,12,255,255,N,127,127,255,ZNZ3
2023-03-20 00:00:00+00:00,2023-03-19 16:04:37.668000+00:00,19,1,12212,ZNZ3,A,F,0.015625,1.0,2023-12-19 18:01:00+00:00,2023-03-22 21:30:00+00:00,,0.015625,0.5,0.0,100000.0,0.001,,796751,0,12212,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,19433,344,2023,65535,19,USD,,,ZN,XCBT,ZN,FFDXSX,FUT,USD,,,,F,255,32,3,1,2,14,12,255,255,N,127,127,255,ZNZ3
2023-03-21 00:00:00+00:00,2023-03-19 16:04:37.668000+00:00,19,1,12212,ZNZ3,A,F,0.015625,1.0,2023-12-19 18:01:00+00:00,2023-03-22 21:30:00+00:00,,0.015625,0.5,0.0,100000.0,0.001,,796751,0,12212,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,19433,344,2023,65535,19,USD,,,ZN,XCBT,ZN,FFDXSX,FUT,USD,,,,F,255,32,3,1,2,14,12,255,255,N,127,127,255,ZNZ3
2023-03-22 00:00:00+00:00,2023-03-19 16:04:37.668000+00:00,19,1,12212,ZNZ3,A,F,0.015625,1.0,2023-12-19 18:01:00+00:00,2023-03-22 21:30:00+00:00,,0.015625,0.5,0.0,100000.0,0.001,,796751,0,12212,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,19433,344,2023,65535,19,USD,,,ZN,XCBT,ZN,FFDXSX,FUT,USD,,,,F,255,32,3,1,2,14,12,255,255,N,127,127,255,ZNZ3
2023-03-23 00:00:00+00:00,2023-03-19 16:04:37.668000+00:00,19,1,12212,ZNZ3,A,F,0.015625,1.0,2023-12-19 18:01:00+00:00,2023-03-22 21:30:00+00:00,,0.015625,0.5,0.0,100000.0,0.001,,796751,0,12212,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,19433,344,2023,65535,19,USD,,,ZN,XCBT,ZN,FFDXSX,FUT,USD,,,,F,255,32,3,1,2,14,12,255,255,N,127,127,255,ZNZ3
2023-03-24 00:00:00+00:00,2023-03-19 16:04:37.668000+00:00,19,1,12212,ZNZ3,A,F,0.015625,1.0,2023-12-19 18:01:00+00:00,2023-03-22 21:30:00+00:00,,0.015625,0.5,0.0,100000.0,0.001,,796751,0,12212,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,19433,344,2023,65535,19,USD,,,ZN,XCBT,ZN,FFDXSX,FUT,USD,,,,F,255,32,3,1,2,14,12,255,255,N,127,127,255,ZNZ3
