artifact,existing_path,regenerated_path,existing_sha256,regenerated_sha256,byte_identical
sanitized_csv,docs\researchops\first_data_intake\quarantine\DATABENTO_16_SYMBOL_DAILY_OHLCV_2026-05-18_2026-05-22\attempt_2026-05-30_auth_ok\sanitized_bars\DATABENTO_16_SYMBOL_DAILY_OHLCV_2026-05-18_2026-05-22_SANITIZED.csv,docs\researchops\first_data_intake\quarantine\DATABENTO_16_SYMBOL_DAILY_OHLCV_2026-05-18_2026-05-22\attempt_2026-05-30_auth_ok\pipe_smoke_2026-05-30\regenerated\DATABENTO_16_SYMBOL_DAILY_OHLCV_2026-05-18_2026-05-22_SANITIZED_REGENERATED.csv,2B7C789DF0EEE658E8DFC0E32F186D6C9CC610B6506E812BB737D61A7EE48A6E,2B7C789DF0EEE658E8DFC0E32F186D6C9CC610B6506E812BB737D61A7EE48A6E,YES
row_validation_csv,docs\researchops\first_data_intake\quarantine\DATABENTO_16_SYMBOL_DAILY_OHLCV_2026-05-18_2026-05-22\attempt_2026-05-30_auth_ok\validation\DATABENTO_16_SYMBOL_DAILY_OHLCV_2026-05-18_2026-05-22_ROW_VALIDATION.csv,docs\researchops\first_data_intake\quarantine\DATABENTO_16_SYMBOL_DAILY_OHLCV_2026-05-18_2026-05-22\attempt_2026-05-30_auth_ok\pipe_smoke_2026-05-30\regenerated\DATABENTO_16_SYMBOL_DAILY_OHLCV_2026-05-18_2026-05-22_ROW_VALIDATION_REGENERATED.csv,49B77E4315B71E19748C94B5358338BB723A35D0D3D8FF269D438EE190849863,49B77E4315B71E19748C94B5358338BB723A35D0D3D8FF269D438EE190849863,YES
