period_label,stage,reported_status,effective_backtest_start,effective_backtest_end,reported_backtest_rows,replayed_backtest_rows,reported_gross_pnl_usd,replayed_gross_pnl_usd,reported_fees_usd,replayed_fees_usd,reported_net_after_fees_usd,replayed_net_after_fees_usd,aggregate_parity_status,row_replay_status,lookahead_status,lineage_status,null_inverted_net_after_fees_usd,null_one_bar_delayed_net_after_fees_usd,null_day_shuffled_net_after_fees_usd,provider_api_access,new_data_download,diagnostics_run,oos_access,lockbox_access,forward_access,deployment,trading,promotion
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,PASS_S27_ZN_M1_STYLE_LADDER_DEV_RECON_BACKTEST_NOT_ALPHA,2022-01-04,2023-12-29,11770,11770,10343.75,10343.75,5001.12,5001.12,5342.630000000004,5342.630000000004,PASS,PASS,PASS,PASS,-15344.869999999997,-10606.949999999997,3494.020000000003,NO,NO,NULL_TESTS_ONLY_NOT_ALPHA_STATISTICS,NO,NO,NO,NO,NO,NO
ZN_2024_VALIDATION,VALIDATION,PASS_S27_ZN_2024_VALIDATION_BACKTEST_NOT_ALPHA,2024-01-02,2024-12-31,5918,5918,29968.75,29968.75,5349.93,5349.93,24618.820000000003,24618.820000000003,PASS,PASS,PASS,PASS,-35318.68,9151.580000000002,-14674.314999999999,NO,NO,NULL_TESTS_ONLY_NOT_ALPHA_STATISTICS,NO,NO,NO,NO,NO,NO
