period_label,stage,check_name,entry_bar_end_utc,exit_bar_end_utc,reported_contracts,replayed_contracts,reported_price_change_points,replayed_price_change_points,reported_gross_pnl_usd,replayed_gross_pnl_usd,reported_net_after_fees_usd,replayed_net_after_fees_usd,check_status
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-01-31T14:00:00Z,2023-01-31T15:00:00Z,0,0,-0.03125,-0.03125,-0.0,-0.0,-0.0,-0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2022-07-27T05:00:00Z,2022-07-27T06:00:00Z,0,0,0.03125,0.03125,0.0,0.0,0.0,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-06-16T08:00:00Z,2023-06-16T09:00:00Z,0,0,0.078125,0.078125,0.0,0.0,0.0,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2022-04-18T12:00:00Z,2022-04-18T13:00:00Z,0,0,0.1875,0.1875,0.0,0.0,0.0,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2022-08-01T12:00:00Z,2022-08-01T13:00:00Z,0,0,-0.046875,-0.046875,-0.0,-0.0,-0.0,-0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-02-07T17:00:00Z,2023-02-07T18:00:00Z,1,1,0.375,0.375,375.0,375.0,373.49,373.49,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2022-07-19T02:00:00Z,2022-07-19T03:00:00Z,0,0,0.03125,0.03125,0.0,0.0,0.0,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-08-28T10:00:00Z,2023-08-28T11:00:00Z,0,0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-09-29T16:00:00Z,2023-09-29T17:00:00Z,0,0,-0.046875,-0.046875,-0.0,-0.0,-3.02,-3.02,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2022-04-22T08:00:00Z,2022-04-22T09:00:00Z,0,0,-0.015625,-0.015625,-0.0,-0.0,-1.51,-1.51,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-12-07T06:00:00Z,2023-12-07T07:00:00Z,2,2,-0.046875,-0.046875,-93.75,-93.75,-95.26,-95.26,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-04-04T13:00:00Z,2023-04-04T14:00:00Z,0,0,0.125,0.125,0.0,0.0,0.0,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2022-03-28T23:00:00Z,2022-03-29T00:00:00Z,0,0,0.09375,0.09375,0.0,0.0,0.0,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2023-12-19T02:00:00Z,2023-12-19T03:00:00Z,0,0,0.09375,0.09375,0.0,0.0,0.0,0.0,PASS
ZN_2022_2023_INITIAL_TEST,INITIAL_TEST,row_replay,2022-03-30T06:00:00Z,2022-03-30T07:00:00Z,0,0,-0.0625,-0.0625,-0.0,-0.0,-1.51,-1.51,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-10-04T12:00:00Z,2024-10-04T13:00:00Z,7,7,-0.609375,-0.609375,-4265.625,-4265.625,-4270.155,-4270.155,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-02-02T15:00:00Z,2024-02-02T16:00:00Z,8,8,-0.28125,-0.28125,-2250.0,-2250.0,-2250.0,-2250.0,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-10-04T14:00:00Z,2024-10-04T15:00:00Z,10,10,-0.1875,-0.1875,-1875.0,-1875.0,-1875.0,-1875.0,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-02-02T16:00:00Z,2024-02-02T17:00:00Z,8,8,-0.15625,-0.15625,-1250.0,-1250.0,-1250.0,-1250.0,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-10-04T16:00:00Z,2024-10-04T17:00:00Z,10,10,-0.125,-0.125,-1250.0,-1250.0,-1250.0,-1250.0,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-08-05T15:00:00Z,2024-08-05T16:00:00Z,4,4,-0.296875,-0.296875,-1187.5,-1187.5,-1193.54,-1193.54,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-06-12T13:00:00Z,2024-06-12T14:00:00Z,-7,-7,0.15625,0.15625,-1093.75,-1093.75,-1102.81,-1102.81,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-05-03T12:00:00Z,2024-05-03T13:00:00Z,-2,-2,0.515625,0.515625,-1031.25,-1031.25,-1034.27,-1034.27,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-01-16T17:00:00Z,2024-01-16T18:00:00Z,4,4,-0.25,-0.25,-1000.0,-1000.0,-1006.04,-1006.04,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-12-06T14:00:00Z,2024-12-06T15:00:00Z,-10,-10,0.09375,0.09375,-937.5,-937.5,-948.07,-948.07,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-05-01T19:00:00Z,2024-05-01T20:00:00Z,-6,-6,-0.265625,-0.265625,1593.75,1593.75,1584.69,1584.69,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-10-30T14:00:00Z,2024-10-30T15:00:00Z,-6,-6,-0.296875,-0.296875,1781.25,1781.25,1772.19,1772.19,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-09-11T13:00:00Z,2024-09-11T14:00:00Z,8,8,0.234375,0.234375,1875.0,1875.0,1862.92,1862.92,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-12-06T15:00:00Z,2024-12-06T16:00:00Z,-10,-10,-0.1875,-0.1875,1875.0,1875.0,1875.0,1875.0,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-12-12T14:00:00Z,2024-12-12T15:00:00Z,-10,-10,-0.1875,-0.1875,1875.0,1875.0,1859.9,1859.9,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-04-10T12:00:00Z,2024-04-10T13:00:00Z,-2,-2,-1.125,-1.125,2250.0,2250.0,2246.98,2246.98,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-12-18T19:00:00Z,2024-12-18T20:00:00Z,-3,-3,-0.890625,-0.890625,2671.875,2671.875,2670.365,2670.365,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-11-01T13:00:00Z,2024-11-01T14:00:00Z,-9,-9,-0.34375,-0.34375,3093.75,3093.75,3080.16,3080.16,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-09-06T14:00:00Z,2024-09-06T15:00:00Z,6,6,0.53125,0.53125,3187.5,3187.5,3178.44,3178.44,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-11-06T00:00:00Z,2024-11-06T01:00:00Z,-7,-7,-0.46875,-0.46875,3281.25,3281.25,3279.74,3279.74,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-07-30T20:00:00Z,2024-07-30T21:00:00Z,0,0,0.046875,0.046875,0.0,0.0,0.0,0.0,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-07-19T14:00:00Z,2024-07-19T15:00:00Z,4,4,0.125,0.125,500.0,500.0,496.98,496.98,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-11-14T17:00:00Z,2024-11-14T18:00:00Z,-2,-2,0.140625,0.140625,-281.25,-281.25,-281.25,-281.25,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-05-30T12:00:00Z,2024-05-30T13:00:00Z,-1,-1,0.171875,0.171875,-171.875,-171.875,-171.875,-171.875,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-07-03T14:00:00Z,2024-07-03T15:00:00Z,0,0,0.46875,0.46875,0.0,0.0,0.0,0.0,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-07-15T21:00:00Z,2024-07-15T23:00:00Z,1,1,0.0625,0.0625,62.5,62.5,60.99,60.99,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-04-12T13:00:00Z,2024-04-12T14:00:00Z,-3,-3,-0.03125,-0.03125,93.75,93.75,92.24,92.24,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-09-20T15:00:00Z,2024-09-20T16:00:00Z,4,4,0.1875,0.1875,750.0,750.0,748.49,748.49,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-02-22T00:00:00Z,2024-02-22T01:00:00Z,0,0,0.0625,0.0625,0.0,0.0,0.0,0.0,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-04-16T05:00:00Z,2024-04-16T06:00:00Z,0,0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-07-18T11:00:00Z,2024-07-18T12:00:00Z,1,1,0.015625,0.015625,15.625,15.625,15.625,15.625,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-04-09T11:00:00Z,2024-04-09T12:00:00Z,-2,-2,0.015625,0.015625,-31.25,-31.25,-32.76,-32.76,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-10-28T01:00:00Z,2024-10-28T02:00:00Z,0,0,-0.015625,-0.015625,-0.0,-0.0,-0.0,-0.0,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-11-13T03:00:00Z,2024-11-13T04:00:00Z,0,0,-0.015625,-0.015625,-0.0,-0.0,-0.0,-0.0,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-02-23T21:00:00Z,2024-02-23T22:00:00Z,-1,-1,0.0,0.0,-0.0,-0.0,-0.0,-0.0,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-12-17T12:00:00Z,2024-12-17T13:00:00Z,0,0,-0.03125,-0.03125,-0.0,-0.0,-0.0,-0.0,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-08-15T07:00:00Z,2024-08-15T08:00:00Z,0,0,-0.03125,-0.03125,-0.0,-0.0,-0.0,-0.0,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-02-13T01:00:00Z,2024-02-13T02:00:00Z,0,0,0.0,0.0,0.0,0.0,-1.51,-1.51,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-12-23T10:00:00Z,2024-12-23T11:00:00Z,0,0,0.03125,0.03125,0.0,0.0,0.0,0.0,PASS
ZN_2024_VALIDATION,VALIDATION,row_replay,2024-02-13T16:00:00Z,2024-02-13T17:00:00Z,6,6,0.03125,0.03125,187.5,187.5,185.99,185.99,PASS
