ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-10-03T00:00:00.000000000Z,35,1,42002662,47850.000000000,47850.000000000,47810.000000000,47810.000000000,2,MYMM6
2025-10-13T00:00:00.000000000Z,35,1,42002662,47017.000000000,47017.000000000,46895.000000000,46895.000000000,2,MYMM6
2025-10-14T00:00:00.000000000Z,35,1,42002662,47300.000000000,47300.000000000,47300.000000000,47300.000000000,1,MYMM6
2025-10-15T00:00:00.000000000Z,35,1,42002662,47500.000000000,47500.000000000,47200.000000000,47200.000000000,2,MYMM6
2025-10-16T00:00:00.000000000Z,35,1,42002662,47000.000000000,47000.000000000,47000.000000000,47000.000000000,2,MYMM6
2025-10-17T00:00:00.000000000Z,35,1,42002662,46680.000000000,47100.000000000,46680.000000000,47050.000000000,10,MYMM6
2025-10-20T00:00:00.000000000Z,35,1,42002662,47065.000000000,47600.000000000,47020.000000000,47535.000000000,11,MYMM6
2025-10-21T00:00:00.000000000Z,35,1,42002662,47575.000000000,47830.000000000,47450.000000000,47780.000000000,9,MYMM6
2025-10-22T00:00:00.000000000Z,35,1,42002662,47659.000000000,47663.000000000,47330.000000000,47350.000000000,8,MYMM6
2025-10-24T00:00:00.000000000Z,35,1,42002662,47800.000000000,48060.000000000,47800.000000000,47990.000000000,6,MYMM6
2025-10-27T00:00:00.000000000Z,35,1,42002662,48300.000000000,48400.000000000,48200.000000000,48320.000000000,5,MYMM6
2025-10-28T00:00:00.000000000Z,35,1,42002662,48353.000000000,48648.000000000,48335.000000000,48555.000000000,11,MYMM6
2025-10-29T00:00:00.000000000Z,35,1,42002662,48531.000000000,48531.000000000,48450.000000000,48450.000000000,2,MYMM6
2025-10-30T00:00:00.000000000Z,35,1,42002662,48452.000000000,48740.000000000,48203.000000000,48340.000000000,21,MYMM6
2025-10-31T00:00:00.000000000Z,35,1,42002662,48393.000000000,48393.000000000,48220.000000000,48220.000000000,4,MYMM6
2025-11-03T00:00:00.000000000Z,35,1,42002662,48250.000000000,48250.000000000,48120.000000000,48120.000000000,3,MYMM6
2025-11-04T00:00:00.000000000Z,35,1,42002662,48100.000000000,48100.000000000,47786.000000000,47800.000000000,8,MYMM6
2025-11-05T00:00:00.000000000Z,35,1,42002662,47900.000000000,48163.000000000,47900.000000000,48163.000000000,4,MYMM6
2025-11-06T00:00:00.000000000Z,35,1,42002662,48110.000000000,48110.000000000,47810.000000000,47810.000000000,3,MYMM6
2025-11-07T00:00:00.000000000Z,35,1,42002662,47600.000000000,47600.000000000,47470.000000000,47520.000000000,4,MYMM6
2025-11-10T00:00:00.000000000Z,35,1,42002662,48002.000000000,48100.000000000,48002.000000000,48100.000000000,2,MYMM6
2025-11-11T00:00:00.000000000Z,35,1,42002662,48194.000000000,48740.000000000,48070.000000000,48670.000000000,24,MYMM6
2025-11-12T00:00:00.000000000Z,35,1,42002662,48730.000000000,49122.000000000,48725.000000000,48940.000000000,13,MYMM6
2025-11-13T00:00:00.000000000Z,35,1,42002662,48730.000000000,48730.000000000,48147.000000000,48147.000000000,18,MYMM6
2025-11-14T00:00:00.000000000Z,35,1,42002662,48335.000000000,48335.000000000,47609.000000000,48090.000000000,17,MYMM6
2025-11-17T00:00:00.000000000Z,35,1,42002662,47930.000000000,47930.000000000,47340.000000000,47340.000000000,4,MYMM6
2025-11-18T00:00:00.000000000Z,35,1,42002662,47370.000000000,47370.000000000,46715.000000000,46780.000000000,19,MYMM6
2025-11-19T00:00:00.000000000Z,35,1,42002662,46704.000000000,46930.000000000,46704.000000000,46930.000000000,14,MYMM6
2025-11-20T00:00:00.000000000Z,35,1,42002662,47184.000000000,47470.000000000,46399.000000000,46447.000000000,19,MYMM6
2025-11-21T00:00:00.000000000Z,35,1,42002662,46600.000000000,47146.000000000,46566.000000000,47010.000000000,29,MYMM6
2025-11-23T00:00:00.000000000Z,35,1,42002662,47081.000000000,47081.000000000,47081.000000000,47081.000000000,1,MYMM6
2025-11-24T00:00:00.000000000Z,35,1,42002662,47163.000000000,47235.000000000,47140.000000000,47235.000000000,12,MYMM6
2025-11-25T00:00:00.000000000Z,35,1,42002662,47193.000000000,47901.000000000,47160.000000000,47901.000000000,25,MYMM6
2025-11-26T00:00:00.000000000Z,35,1,42002662,47967.000000000,48325.000000000,47851.000000000,48220.000000000,18,MYMM6
