ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2023-07-24T00:00:00.000000000Z,35,1,4121243,734.000000000,734.000000000,734.000000000,734.000000000,2,ZWN6
2024-01-10T00:00:00.000000000Z,35,1,4121243,641.000000000,641.000000000,641.000000000,641.000000000,1,ZWN6
2024-03-27T00:00:00.000000000Z,35,1,4121243,625.000000000,625.000000000,625.000000000,625.000000000,3,ZWN6
2024-04-26T00:00:00.000000000Z,35,1,4121243,667.250000000,667.250000000,667.250000000,667.250000000,1,ZWN6
2024-05-06T00:00:00.000000000Z,35,1,4121243,695.000000000,703.250000000,695.000000000,702.000000000,16,ZWN6
2024-05-08T00:00:00.000000000Z,35,1,4121243,695.000000000,695.000000000,695.000000000,695.000000000,1,ZWN6
2024-05-10T00:00:00.000000000Z,35,1,4121243,705.000000000,705.000000000,703.000000000,703.000000000,3,ZWN6
2024-05-13T00:00:00.000000000Z,35,1,4121243,704.500000000,706.000000000,704.500000000,706.000000000,4,ZWN6
2024-05-14T00:00:00.000000000Z,35,1,4121243,704.500000000,704.500000000,704.500000000,704.500000000,10,ZWN6
2024-05-15T00:00:00.000000000Z,35,1,4121243,712.250000000,712.250000000,712.000000000,712.000000000,12,ZWN6
2024-05-16T00:00:00.000000000Z,35,1,4121243,699.500000000,699.500000000,699.500000000,699.500000000,2,ZWN6
2024-05-20T00:00:00.000000000Z,35,1,4121243,711.000000000,716.000000000,708.000000000,715.000000000,9,ZWN6
2024-05-21T00:00:00.000000000Z,35,1,4121243,716.000000000,718.750000000,713.000000000,718.750000000,6,ZWN6
2024-05-31T00:00:00.000000000Z,35,1,4121243,703.000000000,703.000000000,703.000000000,703.000000000,1,ZWN6
2024-06-03T00:00:00.000000000Z,35,1,4121243,713.750000000,713.750000000,713.750000000,713.750000000,1,ZWN6
2024-06-04T00:00:00.000000000Z,35,1,4121243,702.500000000,702.500000000,702.500000000,702.500000000,1,ZWN6
2024-06-05T00:00:00.000000000Z,35,1,4121243,699.000000000,699.000000000,699.000000000,699.000000000,1,ZWN6
2024-06-07T00:00:00.000000000Z,35,1,4121243,688.500000000,688.500000000,688.500000000,688.500000000,1,ZWN6
2024-06-10T00:00:00.000000000Z,35,1,4121243,680.000000000,680.000000000,680.000000000,680.000000000,1,ZWN6
2024-06-13T00:00:00.000000000Z,35,1,4121243,676.000000000,676.000000000,676.000000000,676.000000000,1,ZWN6
2024-06-17T00:00:00.000000000Z,35,1,4121243,661.000000000,661.000000000,661.000000000,661.000000000,1,ZWN6
2024-06-20T00:00:00.000000000Z,35,1,4121243,625.500000000,625.500000000,625.500000000,625.500000000,1,ZWN6
2024-06-27T00:00:00.000000000Z,35,1,4121243,619.000000000,619.000000000,619.000000000,619.000000000,1,ZWN6
2024-07-15T00:00:00.000000000Z,35,1,4121243,625.000000000,625.000000000,625.000000000,625.000000000,2,ZWN6
2024-08-01T00:00:00.000000000Z,35,1,4121243,601.000000000,601.000000000,601.000000000,601.000000000,1,ZWN6
2024-08-12T00:00:00.000000000Z,35,1,4121243,618.250000000,618.250000000,618.000000000,618.000000000,3,ZWN6
2024-08-29T00:00:00.000000000Z,35,1,4121243,601.500000000,601.500000000,598.250000000,598.250000000,2,ZWN6
2024-09-04T00:00:00.000000000Z,35,1,4121243,627.000000000,637.000000000,627.000000000,637.000000000,4,ZWN6
2024-09-10T00:00:00.000000000Z,35,1,4121243,631.000000000,631.000000000,631.000000000,631.000000000,1,ZWN6
2024-09-12T00:00:00.000000000Z,35,1,4121243,635.750000000,635.750000000,635.750000000,635.750000000,1,ZWN6
2024-09-24T00:00:00.000000000Z,35,1,4121243,639.500000000,639.500000000,639.500000000,639.500000000,1,ZWN6
2024-09-25T00:00:00.000000000Z,35,1,4121243,632.000000000,632.000000000,632.000000000,632.000000000,1,ZWN6
2024-09-26T00:00:00.000000000Z,35,1,4121243,645.000000000,645.000000000,645.000000000,645.000000000,1,ZWN6
2024-09-30T00:00:00.000000000Z,35,1,4121243,640.000000000,640.000000000,640.000000000,640.000000000,1,ZWN6
2024-10-02T00:00:00.000000000Z,35,1,4121243,655.000000000,665.000000000,655.000000000,662.000000000,14,ZWN6
2024-10-03T00:00:00.000000000Z,35,1,4121243,689.750000000,689.750000000,655.250000000,655.250000000,2,ZWN6
2024-10-04T00:00:00.000000000Z,35,1,4121243,662.000000000,662.000000000,657.000000000,657.000000000,2,ZWN6
2024-10-07T00:00:00.000000000Z,35,1,4121243,655.000000000,655.000000000,653.000000000,653.000000000,2,ZWN6
2024-10-09T00:00:00.000000000Z,35,1,4121243,657.250000000,658.750000000,657.250000000,658.750000000,5,ZWN6
2024-10-18T00:00:00.000000000Z,35,1,4121243,627.250000000,627.250000000,627.250000000,627.250000000,1,ZWN6
