old_contract_key,new_contract_key,first_notice_proxy,roll_transition_date,old_raw_symbol,new_raw_symbol,old_close,new_close,additive_delta_to_prior_history,roll_rule_status
ESH2_2022,ESM2_2022,2022-02-28,2022-02-14,ESH2,ESM2,4394.5,4388.0,-6.5,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ESM2_2022,ESU2_2022,2022-05-31,2022-05-17,ESM2,ESU2,4090.5,4093.75,3.25,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ESU2_2022,ESZ2_2022,2022-08-31,2022-08-17,ESU2,ESZ2,4280.75,4298.5,17.75,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ESZ2_2022,ESH3_2023,2022-11-30,2022-11-16,ESZ2,ESH3,3974.0,4007.75,33.75,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ESH3_2023,ESM3_2023,2023-02-28,2023-02-14,ESH3,ESM3,4141.0,4179.5,38.5,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ESM3_2023,ESU3_2023,2023-05-31,2023-05-17,ESM3,ESU3,4171.0,4208.5,37.5,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ESU3_2023,ESZ3_2023,2023-08-31,2023-08-17,ESU3,ESZ3,4378.5,4427.0,48.5,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
ESZ3_2023,ESH4_2024,2023-11-30,2023-11-16,ESZ3,ESH4,4528.5,4578.25,49.75,LOCKED_DETERMINISTIC_LIFECYCLE_BUFFER_ROLL_PROXY_DEV_RECON
