root,row_id,raw_symbol,completed_trading_date,derived_completed_bar_end_utc,block_reason,block_status
ZF,APPENDIX_C_172_003,ZFH2,2022-01-03,2022-01-03T01:00:00Z,BLOCKED_S26_EWMA5_WARMUP,EXPLICITLY_BLOCKED_NOT_SILENTLY_SKIPPED
ZF,APPENDIX_C_172_003,ZFH2,2022-01-03,2022-01-03T02:00:00Z,BLOCKED_S26_EWMA5_WARMUP,EXPLICITLY_BLOCKED_NOT_SILENTLY_SKIPPED
ZF,APPENDIX_C_172_003,ZFH2,2022-01-03,2022-01-03T03:00:00Z,BLOCKED_S26_EWMA5_WARMUP,EXPLICITLY_BLOCKED_NOT_SILENTLY_SKIPPED
ZF,APPENDIX_C_172_003,ZFH2,2022-01-03,2022-01-03T04:00:00Z,BLOCKED_S26_EWMA5_WARMUP,EXPLICITLY_BLOCKED_NOT_SILENTLY_SKIPPED
