root,row_id,book_label,raw_symbol,completed_trading_date,derived_completed_bar_end_utc,continuous_close,s26_raw_forecast,s27_trend_forecast_proxy_fast_minus_slow,s27_opposes_trend,source_vqm_completed_trading_date,relative_volatility_v,quantile_q,vol_multiplier_m_ewma10,adjusted_raw_forecast,sigma_price_i_t,risk_adjusted_forecast,forecast_scalar,scaled_forecast,capped_forecast,forecast_status
ZF,APPENDIX_C_172_003,5-year US,ZFH2,2022-01-03,2022-01-03T05:00:00Z,122.5234375,0.016396604938279324,0.6189390117154119,NO,2020-09-30,0.3657660702577655,0.0,1.9671914507525412,0.03225526105594999,0.06660061317507203,0.4843087701183932,20.0,9.686175402367864,9.686175402367864,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZF,APPENDIX_C_172_003,5-year US,ZFH2,2022-01-03,2022-01-03T06:00:00Z,122.5078125,0.021347736625529024,0.6189390117154119,NO,2020-09-30,0.3657660702577655,0.0,1.9671914507525412,0.041995084982657596,0.06659211982390514,0.6306314484913312,20.0,12.612628969826625,12.612628969826625,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZF,APPENDIX_C_172_003,5-year US,ZFH2,2022-01-03,2022-01-03T07:00:00Z,122.5,0.019440157750352682,0.6189390117154119,NO,2020-09-30,0.3657660702577655,0.0,1.9671914507525412,0.038242512127774554,0.06658787314832171,0.5743164681441463,20.0,11.486329362882925,11.486329362882925,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZF,APPENDIX_C_172_003,5-year US,ZFH2,2022-01-03,2022-01-03T08:00:00Z,122.484375,0.023376771833582666,0.6189390117154119,NO,2020-09-30,0.3657660702577655,0.0,1.9671914507525412,0.04598658569721663,0.06657937979715484,0.6907031251616104,20.0,13.814062503232208,13.814062503232208,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZF,APPENDIX_C_172_003,5-year US,ZFH2,2022-01-03,2022-01-03T09:00:00Z,122.421875,0.05725118122239792,0.6189390117154119,NO,2020-09-30,0.3657660702577655,0.0,1.9671914507525412,0.11262403424618561,0.06654540639248732,1.6924388977644047,20.0,33.84877795528809,20.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZF,APPENDIX_C_172_003,5-year US,ZFH2,2022-01-03,2022-01-03T10:00:00Z,122.4609375,0.012125787481608086,0.6189390117154119,NO,2020-09-30,0.3657660702577655,0.0,1.9671914507525412,0.023853745467461614,0.06656663977040451,0.3583438423470937,20.0,7.166876846941874,7.166876846941874,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZF,APPENDIX_C_172_003,5-year US,ZFH2,2022-01-03,2022-01-03T11:00:00Z,122.453125,0.013292191654414864,0.6189390117154119,NO,2020-09-30,0.3657660702577655,0.0,1.9671914507525412,0.0261482857843292,0.06656239309482108,0.3928387272236412,20.0,7.856774544472824,7.856774544472824,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZF,APPENDIX_C_172_003,5-year US,ZFH2,2022-01-03,2022-01-03T12:00:00Z,122.453125,0.008861461102952717,0.6189390117154119,NO,2020-09-30,0.3657660702577655,0.0,1.9671914507525412,0.01743219052290477,0.06656239309482108,0.26189248481604077,20.0,5.237849696320815,5.237849696320815,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZF,APPENDIX_C_172_003,5-year US,ZFH2,2022-01-03,2022-01-03T13:00:00Z,122.4609375,0.0006993074019732148,0.6189390117154119,NO,2020-09-30,0.3657660702577655,0.0,1.9671914507525412,0.001375671542609679,0.06656663977040451,0.020666080597646474,20.0,0.4133216119529295,0.4133216119529295,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
ZF,APPENDIX_C_172_003,5-year US,ZFH2,2022-01-03,2022-01-03T14:00:00Z,122.2734375,0.12546620493465355,0.6189390117154119,NO,2020-09-30,0.3657660702577655,0.0,1.9671914507525412,0.24681604570581675,0.06646471955640199,3.7134896130324986,20.0,74.26979226064998,20.0,PASS_S27_FORECAST_RUNTIME_DEV_RECON_ONLY
