row_id,provider_symbol,local_contract,timestamp_utc,completed_trading_date,open,high,low,close,volume,trading_hours_template,helper_timestamp_policy
APPENDIX_C_172_004,ZN,ZN 06-26,2025-05-30T21:00:00Z,2025-05-30,110.578125,110.84375,110.46875,110.65625,2267683,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-02T21:00:00Z,2025-06-02,110.796875,110.84375,110.328125,110.375,1196632,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-03T21:00:00Z,2025-06-03,110.484375,110.734375,110.25,110.359375,1179344,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-04T21:00:00Z,2025-06-04,110.390625,111.125,110.28125,111.015625,1590728,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-05T21:00:00Z,2025-06-05,111.0625,111.359375,110.640625,110.703125,1694581,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-06T21:00:00Z,2025-06-06,110.6875,110.828125,109.78125,109.8125,1811318,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-09T21:00:00Z,2025-06-09,109.859375,110.140625,109.8125,110.0625,1014148,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-10T21:00:00Z,2025-06-10,110.09375,110.34375,109.96875,110.109375,938667,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-11T21:00:00Z,2025-06-11,110.109375,110.625,109.78125,110.59375,1729709,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-12T21:00:00Z,2025-06-12,110.515625,111.09375,110.515625,110.96875,1605121,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-13T21:00:00Z,2025-06-13,110.875,111.3125,110.34375,110.515625,1898688,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-16T21:00:00Z,2025-06-16,110.65625,110.71875,110.234375,110.390625,1165439,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-17T21:00:00Z,2025-06-17,110.390625,110.90625,110.390625,110.75,1383093,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-18T21:00:00Z,2025-06-18,110.78125,111.15625,110.609375,110.703125,1456637,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-19T21:00:00Z,2025-06-19,110.703125,110.890625,110.5625,110.796875,231240,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-20T21:00:00Z,2025-06-20,110.78125,111,110.40625,110.890625,1345187,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-23T21:00:00Z,2025-06-23,111.015625,111.546875,110.6875,111.359375,1691964,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-24T21:00:00Z,2025-06-24,111.15625,111.59375,111.0625,111.5625,1670296,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-25T21:00:00Z,2025-06-25,111.5,111.65625,111.265625,111.59375,1326183,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-26T21:00:00Z,2025-06-26,111.578125,112,111.5625,111.921875,1671999,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-27T21:00:00Z,2025-06-27,111.953125,111.96875,111.609375,111.71875,1525523,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-06-30T21:00:00Z,2025-06-30,111.6875,112.078125,111.59375,112.03125,1796483,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-01T21:00:00Z,2025-07-01,112,112.296875,111.609375,111.765625,1597372,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-02T21:00:00Z,2025-07-02,111.84375,111.859375,111.421875,111.53125,1421727,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-03T21:00:00Z,2025-07-03,111.578125,111.78125,110.875,111.125,1721012,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-04T21:00:00Z,2025-07-04,111.15625,111.40625,111.125,111.265625,224689,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-07T21:00:00Z,2025-07-07,111.203125,111.296875,110.8125,110.828125,1073112,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-08T21:00:00Z,2025-07-08,110.90625,110.953125,110.578125,110.6875,1115201,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-09T21:00:00Z,2025-07-09,110.765625,111.25,110.640625,111.171875,1357534,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-10T21:00:00Z,2025-07-10,111.234375,111.328125,110.921875,111.125,1126868,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-11T21:00:00Z,2025-07-11,111.078125,111.15625,110.609375,110.625,1116799,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-14T21:00:00Z,2025-07-14,110.734375,110.828125,110.53125,110.671875,1114389,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-15T21:00:00Z,2025-07-15,110.625,110.84375,110.171875,110.1875,1862168,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-16T21:00:00Z,2025-07-16,110.25,110.578125,110.171875,110.53125,2070785,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-17T21:00:00Z,2025-07-17,110.484375,110.6875,110.203125,110.421875,1327651,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-18T21:00:00Z,2025-07-18,110.515625,110.8125,110.5,110.6875,967616,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-21T21:00:00Z,2025-07-21,110.765625,111.203125,110.65625,111.09375,1138783,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-22T21:00:00Z,2025-07-22,111.015625,111.359375,110.90625,111.3125,1204378,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-23T21:00:00Z,2025-07-23,111.234375,111.234375,110.875,110.921875,1297760,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-24T21:00:00Z,2025-07-24,110.9375,110.96875,110.515625,110.734375,1292182,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-25T21:00:00Z,2025-07-25,110.796875,110.921875,110.609375,110.890625,1027896,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-28T21:00:00Z,2025-07-28,110.796875,111,110.671875,110.671875,1131328,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-29T21:00:00Z,2025-07-29,110.71875,111.3125,110.65625,111.265625,1662247,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-30T21:00:00Z,2025-07-30,111.296875,111.359375,110.859375,110.90625,1632369,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-07-31T21:00:00Z,2025-07-31,110.921875,111.21875,110.828125,110.96875,1888692,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-08-01T21:00:00Z,2025-08-01,110.875,112.25,110.640625,112.109375,2689348,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-08-04T21:00:00Z,2025-08-04,112.171875,112.34375,111.890625,112.28125,1750355,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
APPENDIX_C_172_004,ZN,ZN 06-26,2025-08-05T21:00:00Z,2025-08-05,112.296875,112.390625,112.0625,112.203125,1309898,CBOT Interest Rate ETH,HELPER_RAW_OUTPUT_WITH_TEMPLATE_DERIVED_UTC_SESSION_END_TIMESTAMPS_NOT_PROVIDER_VERBATIM_TIME0
