root,purpose,raw_symbol,resolved_d0,resolved_d1,instrument_id
ZT,hourly,ZTH2,2021-12-31,2022-05-16,798635
ZT,hourly,ZTM2,2021-12-31,2022-07-20,740745
ZT,hourly,ZTU2,2021-12-31,2022-10-26,429465
ZT,hourly,ZTZ2,2022-03-17,2023-02-28,512153
ZT,hourly,ZTH3,2022-06-16,2024-01-01,755188
ZT,hourly,ZTM3,2022-09-18,2024-01-01,699486
ZT,hourly,ZTU3,2022-12-18,2024-01-01,72156
ZT,hourly,ZTZ3,2023-03-19,2024-01-01,287686
ZT,hourly,ZTH4,2023-06-18,2024-01-01,4131634
ZT,daily,ZTH1,2010-12-31,2011-05-05,571800
ZT,daily,ZTM1,2010-12-31,2011-08-04,691779
ZT,daily,ZTU1,2010-12-31,2011-11-04,325912
ZT,daily,ZTZ1,2010-12-31,2012-02-04,36443
ZT,daily,ZTH2,2010-12-31,2012-05-05,435773
ZT,daily,ZTM2,2011-03-14,2012-07-24,26116
ZT,daily,ZTU2,2011-06-16,2012-11-04,630499
ZT,daily,ZTZ2,2011-09-18,2013-02-04,17826
ZT,daily,ZTH3,2011-12-18,2013-05-05,431798
ZT,daily,ZTM3,2012-03-18,2013-08-04,64631
ZT,daily,ZTU3,2012-06-17,2013-11-04,224332
ZT,daily,ZTZ3,2012-09-16,2014-02-04,106458
ZT,daily,ZTH4,2012-12-17,2014-05-04,477430
ZT,daily,ZTM4,2013-03-14,2014-07-21,623116
ZT,daily,ZTU4,2013-06-16,2014-11-04,406606
ZT,daily,ZTZ4,2013-09-16,2015-01-18,581137
ZT,daily,ZTH5,2013-12-18,2015-05-05,721114
ZT,daily,ZTM5,2014-03-17,2015-07-22,179483
ZT,daily,ZTU5,2014-06-16,2015-11-04,604247
ZT,daily,ZTZ5,2014-09-16,2016-01-17,474528
ZT,daily,ZTH6,2014-12-17,2016-04-24,667931
ZT,daily,ZTM6,2015-03-17,2016-08-04,684812
ZT,daily,ZTU6,2015-06-16,2016-11-04,688154
ZT,daily,ZTZ6,2015-09-16,2015-10-11,283879
ZT,daily,ZTZ6,2016-03-17,2017-01-27,740072
ZT,daily,ZTH7,2016-06-16,2017-05-05,596182
ZT,daily,ZTM7,2016-09-18,2017-07-16,187401
ZT,daily,ZTU7,2016-12-18,2017-11-04,325068
ZT,daily,ZTZ7,2017-03-19,2018-01-17,107232
ZT,daily,ZTH8,2017-06-18,2018-04-15,531149
ZT,daily,ZTM8,2017-09-17,2018-07-15,434845
ZT,daily,ZTU8,2017-12-17,2018-10-14,587209
ZT,daily,ZTZ8,2018-03-15,2019-01-17,149404
ZT,daily,ZTH9,2018-06-17,2019-04-16,75896
ZT,daily,ZTM9,2018-09-16,2019-08-04,291847
ZT,daily,ZTU9,2018-12-17,2019-11-04,325594
ZT,daily,ZTZ9,2019-03-17,2020-02-04,429364
ZT,daily,ZTH0,2019-06-16,2020-05-05,499590
ZT,daily,ZTM0,2019-09-16,2020-07-28,246386
ZT,daily,ZTU0,2019-12-18,2020-10-15,755741
ZT,daily,ZTZ0,2020-03-17,2021-02-04,793979
ZT,daily,ZTH1,2020-06-16,2021-05-05,664909
ZT,daily,ZTM1,2020-09-16,2021-08-04,725358
ZT,daily,ZTU1,2020-12-18,2021-10-27,503535
ZT,daily,ZTZ1,2021-03-17,2022-01-16,631740
ZT,daily,ZTH2,2021-06-16,2022-05-05,798635
ZT,daily,ZTM2,2021-09-16,2022-07-20,740745
ZT,daily,ZTU2,2021-12-19,2022-10-26,429465
ZT,daily,ZTZ2,2022-03-17,2023-02-04,512153
ZT,daily,ZTH3,2022-06-16,2023-05-05,755188
ZT,daily,ZTM3,2022-09-18,2023-08-04,699486
ZT,daily,ZTU3,2022-12-18,2023-11-04,72156
ZT,daily,ZTZ3,2023-03-19,2024-01-01,287686
ZT,daily,ZTH4,2023-06-18,2024-01-01,4131634
