gate,lane,window_label,evidence_class,rows,b_primary,stationary_mean_block_length,observed_signal_attributable_net_pnl_usd,min_primary_unadjusted_p,max_t_adjusted_p,mcpt_interpretation,delayed_1_bar_signal_attributable_net_pnl_usd,inverted_signal_attributable_net_pnl_usd,status
S27_ZN_PRE_LOCKBOX_MCPT_NULL_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2022_2023_INITIAL_DEV_RECON,TEST_1_DEVELOPMENT_RECONCILIATION,11770,9999,24,11422.9430739168,0.1297,0.6215,PRIMARY_TEST_WINDOW_NOT_SIGNIFICANT_NOT_LOCKBOX,-4526.6369260832,-9264.5569260832,DEV_RECON_MCPT_NULL_STACK_NOT_LOCKBOX_NOT_PROMOTION
S27_ZN_PRE_LOCKBOX_MCPT_NULL_STACK_DEV_RECON_ONLY,SOURCE_NATIVE_FUTURES,2024_VALIDATION_STYLE,TEST_2_VALIDATION_STYLE_INFORMATIONALLY_TOUCHED_NOT_LOCKBOX,5918,9999,24,28328.3913653262,0.0004,0.0122,TOUCHED_2024_MCPT_THRESHOLD_HIT_INFORMATIONAL_NOT_LOCKBOX,12861.1513653262,-31609.1086346738,DEV_RECON_MCPT_NULL_STACK_NOT_LOCKBOX_NOT_PROMOTION
