root,row_id,book_label,asset_group,candidate_status,requested_window_start,requested_window_end,effective_backtest_start,effective_backtest_end,hourly_source_rows,hourly_continuous_rows,daily_continuous_rows,s27_forecast_rows,backtest_rows,rounded_position_counts,position_change_sides,contract_multiplier,etf_fee_per_side_usd,gross_pnl_usd,estimated_etf_fees_usd,net_after_etf_fees_usd,fail_closed_reason,fail_closed_message
ZT,APPENDIX_C_172_001,2-year US,bond,PASS_S27_CANDIDATE_DEV_RECON_UNIT_PLUMBING_ETF_COST_BACKTEST_NOT_ALPHA,2022-01-01,2023-12-31,2022-01-03,2023-12-29,16821,11767,4008,11763,11762,"{""-2"": 78, ""-1"": 527, ""0"": 11077, ""1"": 77, ""2"": 4}",806,2000.0,1.36,4546.875,1096.16,3450.7149999999992,,
ZF,APPENDIX_C_172_003,5-year US,bond,FAIL_CLOSED_S27_CANDIDATE_COMPARISON_NOT_EXECUTABLE,2022-01-01,2023-12-31,,,16996,,,,,,,,,,,,RuntimeError,insufficient daily sigma rows for ten-year V/Q/M: 2259
ZN,APPENDIX_C_172_004,10-year US,bond,FAIL_CLOSED_S27_CANDIDATE_COMPARISON_NOT_EXECUTABLE,2022-01-01,2023-12-31,,,20899,,,,,,,,,,,,RuntimeError,insufficient daily sigma rows for ten-year V/Q/M: 1880
MES,APPENDIX_C_174_006,S&P 500 (micro),index,FAIL_CLOSED_S27_CANDIDATE_COMPARISON_NOT_EXECUTABLE,2022-01-01,2023-12-31,,,4909,,,,,,,,,,,,RuntimeError,insufficient daily sigma rows for ten-year V/Q/M: 0
MNQ,APPENDIX_C_174_002,Nasdaq (micro),index,FAIL_CLOSED_S27_CANDIDATE_COMPARISON_NOT_EXECUTABLE,2022-01-01,2023-12-31,,,14345,,,,,,,,,,,,RuntimeError,insufficient daily sigma rows for ten-year V/Q/M: 0
